Rate	62.50
Rev Jump	12.50
Tree Move	12.50
Global Rate	12.50
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Global Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Global Rate - Dev	Global Rate - Tried	Global Rate - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
662	0.626888	72	0.472222	120	0.558333	146	0.000000	5.000000	662	0.626888	0.869407	0	0.000000	0.516000	0.503318	
682	0.634897	53	0.547170	136	0.661765	129	0.000000	5.000000	682	0.634897	0.869407	0	0.000000	0.552000	0.507374	
663	0.627451	61	0.508197	135	0.585185	141	0.000000	5.000000	663	0.627451	0.869407	0	0.000000	0.526000	0.508807	
652	0.592025	85	0.505882	119	0.596639	144	0.000000	5.000000	652	0.592025	0.869407	0	0.000000	0.500000	0.508178	
661	0.618759	72	0.444444	129	0.565891	138	0.000000	5.000000	661	0.618759	0.869407	0	0.000000	0.514000	0.508566	
669	0.603886	82	0.402439	125	0.584000	124	0.000000	5.000000	669	0.603886	0.869407	0	0.000000	0.510000	0.508656	
674	0.618694	60	0.466667	126	0.547619	140	0.000000	5.000000	674	0.618694	0.869407	0	0.000000	0.514000	0.508970	
669	0.632287	72	0.611111	129	0.496124	130	0.000000	5.000000	669	0.632287	0.869407	0	0.000000	0.531000	0.510194	
676	0.612426	69	0.521739	121	0.520661	134	0.007463	5.000000	676	0.612426	0.869407	0	0.000000	0.514000	0.510394	
685	0.618978	77	0.558442	110	0.500000	128	0.000000	5.000000	685	0.618978	0.869407	0	0.000000	0.522000	0.510974	
686	0.628280	43	0.488372	110	0.581818	161	0.000000	5.000000	686	0.628280	0.869407	0	0.000000	0.516000	0.511214	
654	0.594801	62	0.516129	138	0.608696	146	0.000000	5.000000	654	0.594801	0.869407	0	0.000000	0.505000	0.510931	
683	0.590044	72	0.430556	131	0.458015	114	0.000000	5.000000	683	0.590044	0.869407	0	0.000000	0.494000	0.510195	
656	0.646341	66	0.560606	133	0.601504	145	0.000000	5.000000	656	0.646341	0.869407	0	0.000000	0.541000	0.511479	
653	0.647779	49	0.775510	139	0.517986	159	0.000000	5.000000	653	0.647779	0.869407	0	0.000000	0.533000	0.512340	
670	0.622388	58	0.517241	132	0.530303	140	0.000000	5.000000	670	0.622388	0.869407	0	0.000000	0.517000	0.512519	
648	0.620370	83	0.397590	155	0.670968	114	0.000000	5.000000	648	0.620370	0.869407	0	0.000000	0.539000	0.513500	
665	0.675188	88	0.318182	125	0.680000	122	0.000000	5.000000	665	0.675188	0.869407	0	0.000000	0.562000	0.515232	
654	0.622324	76	0.368421	135	0.614815	135	0.000000	5.000000	654	0.622324	0.869407	0	0.000000	0.518000	0.515327	
657	0.605784	73	0.383562	133	0.609023	137	0.000000	5.000000	657	0.605784	0.869407	0	0.000000	0.507000	0.515049	
624	0.657051	79	0.455696	151	0.576159	146	0.000000	5.000000	624	0.657051	0.869407	0	0.000000	0.533000	0.515629	
642	0.601246	82	0.414634	139	0.633094	137	0.000000	5.000000	642	0.601246	0.869407	0	0.000000	0.508000	0.515390	
664	0.638554	76	0.434211	137	0.671533	123	0.000000	5.000000	664	0.638554	0.869407	0	0.000000	0.549000	0.516409	
660	0.604545	66	0.515152	137	0.664234	137	0.000000	5.000000	660	0.604545	0.869407	0	0.000000	0.524000	0.516632	
648	0.626543	75	0.373333	136	0.669118	141	0.000000	5.000000	648	0.626543	0.869407	0	0.000000	0.525000	0.516871	
548	0.459854	64	0.468750	210	0.695238	178	0.000000	5.000000	548	0.459854	0.869407	0	0.000000	0.428000	0.514402	
595	0.521008	63	0.476190	175	0.657143	167	0.000000	5.000000	595	0.521008	0.869407	0	0.000000	0.455000	0.512797	
654	0.646789	80	0.412500	153	0.470588	113	0.000000	5.000000	654	0.646789	0.869407	0	0.000000	0.528000	0.513197	
632	0.672468	72	0.361111	152	0.572368	144	0.000000	5.000000	632	0.672468	0.869407	0	0.000000	0.538000	0.513833	
680	0.610294	46	0.434783	134	0.671642	140	0.000000	5.000000	680	0.610294	0.869407	0	0.000000	0.525000	0.514112	
691	0.646889	59	0.457627	131	0.664122	119	0.000000	5.000000	691	0.646889	0.869407	0	0.000000	0.561000	0.515256	
661	0.588502	61	0.491803	143	0.531469	135	0.000000	5.000000	661	0.588502	0.869407	0	0.000000	0.495000	0.514773	
675	0.663704	68	0.426471	129	0.705426	128	0.000000	5.000000	675	0.663704	0.869407	0	0.000000	0.568000	0.516011	
685	0.630657	74	0.364865	136	0.558824	105	0.000000	5.000000	685	0.630657	0.869407	0	0.000000	0.535000	0.516443	
656	0.600610	64	0.484375	156	0.487179	124	0.000000	5.000000	656	0.600610	0.869407	0	0.000000	0.501000	0.516100	
665	0.616541	61	0.459016	151	0.543046	123	0.000000	5.000000	665	0.616541	0.869407	0	0.000000	0.520000	0.516184	
641	0.627145	74	0.554054	147	0.564626	138	0.000000	5.000000	641	0.627145	0.869407	0	0.000000	0.526000	0.516393	
673	0.604755	45	0.600000	154	0.629870	128	0.000000	5.000000	673	0.604755	0.869407	0	0.000000	0.531000	0.516698	
671	0.643815	55	0.545455	131	0.702290	143	0.000000	5.000000	671	0.643815	0.869407	0	0.000000	0.554000	0.517459	
660	0.656061	59	0.508475	149	0.657718	132	0.000000	5.000000	660	0.656061	0.869407	0	0.000000	0.561000	0.518330	
684	0.616959	39	0.589744	132	0.530303	145	0.000000	5.000000	684	0.616959	0.869407	0	0.000000	0.515000	0.518264	
688	0.623547	69	0.463768	133	0.593985	110	0.000000	5.000000	688	0.623547	0.869407	0	0.000000	0.540000	0.518682	
680	0.645588	36	0.500000	138	0.673913	146	0.000000	5.000000	680	0.645588	0.869407	0	0.000000	0.550000	0.519273	
650	0.652308	77	0.480519	136	0.602941	137	0.000000	5.000000	650	0.652308	0.869407	0	0.000000	0.543000	0.519713	
666	0.615616	81	0.481481	140	0.650000	113	0.000000	5.000000	666	0.615616	0.869407	0	0.000000	0.540000	0.520081	
663	0.639517	58	0.413793	164	0.560976	115	0.000000	5.000000	663	0.639517	0.869407	0	0.000000	0.540000	0.520437	
686	0.607872	45	0.800000	134	0.529851	135	0.000000	5.000000	686	0.607872	0.869407	0	0.000000	0.524000	0.520500	
617	0.495948	58	0.551724	164	0.445122	161	0.000000	5.000000	617	0.495948	0.869407	0	0.000000	0.411000	0.518612	
