Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.401040	-1.401040
1	0.950747	750	-1.373349	-2.774389
2	0.926679	750	-1.344490	-4.118878
3	0.902980	750	-1.443572	-5.562451
4	0.879648	750	-1.421493	-6.983943
5	0.856682	750	-1.320782	-8.304725
6	0.834079	750	-1.217835	-9.522560
7	0.811838	750	-1.205787	-10.728347
8	0.789957	750	-1.279259	-12.007606
9	0.768433	750	-1.234706	-13.242312
10	0.747266	750	-1.217023	-14.459335
11	0.726452	750	-1.225547	-15.684882
12	0.705989	750	-1.150031	-16.834913
13	0.685877	750	-1.182541	-18.017454
14	0.666112	750	-1.149146	-19.166600
15	0.646693	750	-1.190527	-20.357127
16	0.627618	750	-1.117744	-21.474871
17	0.608884	750	-1.079152	-22.554023
18	0.590490	750	-1.057813	-23.611836
19	0.572433	750	-1.026648	-24.638484
20	0.554712	750	-1.017835	-25.656319
21	0.537324	750	-0.992035	-26.648353
22	0.520268	750	-1.049449	-27.697803
23	0.503540	750	-1.061076	-28.758879
24	0.487139	750	-0.999303	-29.758182
25	0.471063	750	-0.969026	-30.727208
26	0.455310	750	-0.994936	-31.722145
27	0.439877	750	-0.906120	-32.628265
28	0.424762	750	-0.925490	-33.553755
29	0.409963	750	-0.948916	-34.502671
30	0.395478	750	-0.872839	-35.375510
31	0.381305	750	-1.004145	-36.379655
32	0.367440	750	-1.160848	-37.540503
33	0.353883	750	-1.270026	-38.810528
34	0.340630	750	-1.173618	-39.984146
35	0.327680	750	-1.097657	-41.081803
36	0.315030	750	-1.087163	-42.168966
37	0.302677	750	-1.078315	-43.247281
38	0.290619	750	-1.033690	-44.280971
39	0.278855	750	-1.012140	-45.293111
40	0.267381	750	-0.988342	-46.281453
41	0.256195	750	-1.028702	-47.310155
42	0.245294	750	-0.979959	-48.290115
43	0.234677	750	-0.944048	-49.234162
44	0.224340	750	-0.914450	-50.148612
45	0.214281	750	-0.954220	-51.102832
46	0.204498	750	-0.877644	-51.980476
47	0.194988	750	-0.821229	-52.801706
48	0.185749	750	-0.807889	-53.609594
49	0.176777	750	-0.776580	-54.386174
50	0.168070	750	-0.746602	-55.132777
51	0.159626	750	-0.739010	-55.871787
52	0.151441	750	-0.758503	-56.630290
53	0.143514	750	-0.765300	-57.395590
54	0.135841	750	-0.725672	-58.121261
55	0.128420	750	-0.689686	-58.810947
56	0.121247	750	-0.634044	-59.444991
57	0.114320	750	-0.643104	-60.088096
58	0.107637	750	-0.598273	-60.686369
59	0.101193	750	-0.595098	-61.281467
60	0.094986	750	-0.589766	-61.871233
61	0.089014	750	-0.521477	-62.392710
62	0.083273	750	-0.489121	-62.881831
63	0.077760	750	-0.520504	-63.402335
64	0.072472	750	-0.493834	-63.896169
65	0.067406	750	-0.474280	-64.370448
66	0.062558	750	-0.443616	-64.814065
67	0.057926	750	-0.407784	-65.221849
68	0.053506	750	-0.467112	-65.688961
69	0.049295	750	-0.384302	-66.073263
70	0.045289	750	-0.375154	-66.448417
71	0.041485	750	-0.347705	-66.796122
72	0.037880	750	-0.354118	-67.150240
73	0.034469	750	-0.352828	-67.503067
74	0.031250	750	-0.296961	-67.800028
75	0.028218	750	-0.303712	-68.103740
76	0.025370	750	-0.338500	-68.442239
77	0.022702	750	-0.283729	-68.725968
78	0.020209	750	-0.240128	-68.966097
79	0.017889	750	-0.205111	-69.171208
80	0.015736	750	-0.210204	-69.381412
81	0.013746	750	-0.196295	-69.577707
82	0.011916	750	-0.188985	-69.766692
83	0.010240	750	-0.193797	-69.960488
84	0.008714	750	-0.149904	-70.110393
85	0.007334	750	-0.127705	-70.238098
86	0.006093	750	-0.121260	-70.359358
87	0.004988	750	-0.113970	-70.473327
88	0.004013	750	-0.093365	-70.566692
89	0.003162	750	-0.075912	-70.642604
90	0.002430	750	-0.113533	-70.756137
91	0.001810	750	-0.064084	-70.820221
92	0.001296	750	-0.045508	-70.865730
93	0.000882	750	-0.038923	-70.904653
94	0.000559	750	-0.035905	-70.940558
95	0.000320	750	-0.021093	-70.961651
96	0.000156	750	-0.090498	-71.052149
97	0.000057	750	-0.028386	-71.080536
98	0.000010	750	-0.004467	-71.085003
99	0.000000	750	-0.000918	-71.085921
Log marginal likelihood:	-71.085921
