Rate	62.50
Rev Jump	12.50
Tree Move	12.50
Global Rate	12.50
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Global Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Global Rate - Dev	Global Rate - Tried	Global Rate - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
673	0.592868	30	0.266667	141	1.000000	156	0.756410	5.000000	673	0.592868	0.753151	0	0.000000	0.666000	0.694210	
666	0.639640	30	0.600000	158	1.000000	146	0.883562	5.000000	666	0.639640	0.753151	0	0.000000	0.731000	0.697275	
679	0.622975	48	0.291667	148	1.000000	125	1.000000	5.000000	679	0.622975	0.753151	0	0.000000	0.710000	0.698254	
665	0.619549	68	0.323529	127	1.000000	140	1.000000	5.000000	665	0.619549	0.753151	0	0.000000	0.701000	0.698450	
676	0.624260	65	0.369231	122	1.000000	137	0.839416	5.000000	676	0.624260	0.753151	0	0.000000	0.683000	0.697420	
695	0.663309	70	0.371429	122	1.000000	113	1.000000	5.000000	695	0.663309	0.753151	0	0.000000	0.722000	0.698956	
644	0.618012	67	0.313433	155	1.000000	134	1.000000	5.000000	644	0.618012	0.753151	0	0.000000	0.708000	0.699488	
656	0.634146	47	0.340426	149	1.000000	148	1.000000	5.000000	656	0.634146	0.753151	0	0.000000	0.729000	0.701128	
704	0.622159	56	0.375000	123	1.000000	117	1.000000	5.000000	704	0.622159	0.753151	0	0.000000	0.699000	0.701016	
658	0.630699	70	0.328571	133	1.000000	139	1.000000	5.000000	658	0.630699	0.753151	0	0.000000	0.710000	0.701465	
648	0.645062	79	0.189873	124	1.000000	149	1.000000	5.000000	648	0.645062	0.753151	0	0.000000	0.706000	0.701681	
683	0.594436	94	0.265957	116	1.000000	107	1.000000	5.000000	683	0.594436	0.753151	0	0.000000	0.654000	0.699514	
673	0.640416	71	0.140845	115	1.000000	141	0.808511	5.000000	673	0.640416	0.753151	0	0.000000	0.670000	0.698231	
675	0.623704	51	0.352941	147	1.000000	127	0.897638	5.000000	675	0.623704	0.753151	0	0.000000	0.700000	0.698304	
674	0.596439	67	0.313433	125	1.000000	134	0.970149	5.000000	674	0.596439	0.753151	0	0.000000	0.678000	0.697492	
652	0.605828	66	0.318182	134	0.992537	148	0.790541	5.000000	652	0.605828	0.753151	0	0.000000	0.666000	0.696281	
641	0.624025	78	0.243590	138	0.717391	143	0.293706	5.000000	641	0.624025	0.753151	0	0.000000	0.560000	0.691234	
682	0.611437	65	0.353846	131	0.557252	122	0.008197	5.000000	682	0.611437	0.753151	0	0.000000	0.514000	0.684904	
675	0.653333	72	0.416667	142	0.478873	111	0.009009	5.000000	675	0.653333	0.753151	0	0.000000	0.540000	0.679908	
640	0.581250	87	0.310345	134	0.500000	139	0.000000	5.000000	640	0.581250	0.753151	0	0.000000	0.466000	0.672778	
646	0.591331	58	0.482759	149	0.369128	147	0.006803	5.000000	646	0.591331	0.753151	0	0.000000	0.466000	0.666108	
670	0.614925	47	0.446809	147	0.476190	136	0.007353	5.000000	670	0.614925	0.753151	0	0.000000	0.504000	0.661042	
679	0.630339	45	0.400000	140	0.585714	136	0.007353	5.000000	679	0.630339	0.753151	0	0.000000	0.529000	0.657041	
675	0.648889	45	0.400000	133	0.556391	147	0.006803	5.000000	675	0.648889	0.753151	0	0.000000	0.531000	0.653334	
