Rate	62.50
Rev Jump	12.50
Tree Move	12.50
Global Rate	12.50
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Global Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Global Rate - Dev	Global Rate - Tried	Global Rate - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
669	0.642750	44	0.727273	162	1.000000	125	1.000000	5.000000	669	0.642750	0.927810	0	0.000000	0.749000	0.738569	
690	0.623188	43	0.441860	139	1.000000	128	1.000000	5.000000	690	0.623188	0.927810	0	0.000000	0.716000	0.736689	
676	0.678994	34	0.617647	156	1.000000	134	1.000000	5.000000	676	0.678994	0.927810	0	0.000000	0.770000	0.739251	
692	0.614162	31	0.548387	146	1.000000	131	1.000000	5.000000	692	0.614162	0.927810	0	0.000000	0.719000	0.737804	
683	0.591508	30	0.466667	148	1.000000	139	1.000000	5.000000	683	0.591508	0.927810	0	0.000000	0.705000	0.735618	
672	0.648810	21	0.666667	155	1.000000	152	1.000000	5.000000	672	0.648810	0.927810	0	0.000000	0.757000	0.736954	
696	0.593391	21	0.666667	140	1.000000	143	1.000000	5.000000	696	0.593391	0.927810	0	0.000000	0.710000	0.735369	
701	0.620542	18	0.444444	139	1.000000	142	1.000000	5.000000	701	0.620542	0.927810	0	0.000000	0.724000	0.734737	
727	0.645117	8	0.500000	122	1.000000	143	1.000000	5.000000	727	0.645117	0.927810	0	0.000000	0.738000	0.734909	
693	0.639250	22	0.681818	152	0.815789	133	0.571429	5.000000	693	0.639250	0.927810	0	0.000000	0.658000	0.731063	
711	0.645570	29	0.551724	128	0.500000	132	0.000000	5.000000	711	0.645570	0.927810	0	0.000000	0.539000	0.721918	
686	0.625364	29	0.655172	131	0.595420	154	0.006494	5.000000	686	0.625364	0.927810	0	0.000000	0.527000	0.713058	
696	0.640805	40	0.775000	132	0.545455	132	0.000000	5.000000	696	0.640805	0.927810	0	0.000000	0.549000	0.705926	
682	0.607038	37	0.675676	138	0.507246	143	0.000000	5.000000	682	0.607038	0.927810	0	0.000000	0.509000	0.697721	
697	0.637016	36	0.694444	131	0.465649	136	0.000000	5.000000	697	0.637016	0.927810	0	0.000000	0.530000	0.691012	
696	0.627874	39	0.487179	128	0.523438	137	0.000000	5.000000	696	0.627874	0.927810	0	0.000000	0.523000	0.684551	
675	0.638519	49	0.653061	133	0.511278	143	0.000000	5.000000	675	0.638519	0.927810	0	0.000000	0.531000	0.678864	
676	0.630178	51	0.529412	143	0.622378	130	0.000000	5.000000	676	0.630178	0.927810	0	0.000000	0.542000	0.673976	
704	0.619318	46	0.500000	123	0.552846	127	0.000000	5.000000	704	0.619318	0.927810	0	0.000000	0.527000	0.668908	
707	0.629420	47	0.595745	128	0.460938	118	0.000000	5.000000	707	0.629420	0.927810	0	0.000000	0.532000	0.664345	
669	0.668161	43	0.534884	149	0.590604	139	0.000000	5.000000	669	0.668161	0.927810	0	0.000000	0.558000	0.660914	
674	0.637982	48	0.562500	146	0.417808	132	0.000000	5.000000	674	0.637982	0.927810	0	0.000000	0.518000	0.656448	
687	0.633188	39	0.717949	157	0.598726	117	0.000000	5.000000	687	0.633188	0.927810	0	0.000000	0.557000	0.653435	
708	0.649718	36	0.750000	128	0.617188	128	0.000000	5.000000	708	0.649718	0.927810	0	0.000000	0.566000	0.650863	
706	0.630312	27	0.666667	149	0.583893	118	0.000000	5.000000	706	0.630312	0.927810	0	0.000000	0.550000	0.647981	
667	0.611694	36	0.722222	149	0.523490	148	0.000000	5.000000	667	0.611694	0.927810	0	0.000000	0.512000	0.644204	
691	0.651230	14	0.285714	151	0.456954	144	0.000000	5.000000	691	0.651230	0.927810	0	0.000000	0.523000	0.640929	
682	0.640762	32	0.656250	143	0.496503	143	0.000000	5.000000	682	0.640762	0.927810	0	0.000000	0.529000	0.637983	
702	0.658120	42	0.476190	118	0.500000	138	0.000000	5.000000	702	0.658120	0.927810	0	0.000000	0.541000	0.635497	
707	0.674682	40	0.675000	131	0.503817	122	0.008197	5.000000	707	0.674682	0.927810	0	0.000000	0.571000	0.633884	
665	0.622556	65	0.630769	128	0.570312	142	0.000000	5.000000	665	0.622556	0.927810	0	0.000000	0.528000	0.631302	
682	0.602639	47	0.468085	129	0.689922	142	0.000000	5.000000	682	0.602639	0.927810	0	0.000000	0.522000	0.628699	
709	0.610719	33	0.787879	123	0.536585	135	0.000000	5.000000	709	0.610719	0.927810	0	0.000000	0.525000	0.626288	
676	0.616864	43	0.767442	143	0.664336	138	0.000000	5.000000	676	0.616864	0.927810	0	0.000000	0.545000	0.624440	
688	0.625000	14	0.642857	150	0.486667	148	0.000000	5.000000	688	0.625000	0.927810	0	0.000000	0.512000	0.621942	
680	0.658824	24	0.708333	159	0.540881	137	0.000000	5.000000	680	0.658824	0.927810	0	0.000000	0.551000	0.620400	
708	0.629944	40	0.650000	126	0.507937	126	0.000000	5.000000	708	0.629944	0.927810	0	0.000000	0.536000	0.618604	
688	0.655523	36	0.555556	151	0.503311	125	0.000000	5.000000	688	0.655523	0.927810	0	0.000000	0.547000	0.617112	
714	0.627451	31	0.806452	135	0.592593	120	0.000000	5.000000	714	0.627451	0.927810	0	0.000000	0.553000	0.615804	
676	0.613905	26	0.730769	132	0.598485	166	0.000000	5.000000	676	0.613905	0.927810	0	0.000000	0.513000	0.613748	
679	0.615611	34	0.617647	133	0.548872	154	0.000000	5.000000	679	0.615611	0.927810	0	0.000000	0.512000	0.611753	
708	0.644068	20	0.600000	143	0.468531	129	0.000000	5.000000	708	0.644068	0.927810	0	0.000000	0.535000	0.610277	
692	0.632948	39	0.666667	132	0.560606	137	0.000000	5.000000	692	0.632948	0.927810	0	0.000000	0.538000	0.608913	
675	0.602963	39	0.641026	156	0.416667	130	0.000000	5.000000	675	0.602963	0.927810	0	0.000000	0.497000	0.606841	
710	0.607042	46	0.608696	126	0.571429	118	0.000000	5.000000	710	0.607042	0.927810	0	0.000000	0.531000	0.605462	
