Rate	62.50
Rev Jump	12.50
Tree Move	12.50
Global Rate	12.50
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Global Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Global Rate - Dev	Global Rate - Tried	Global Rate - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
698	0.633238	28	0.500000	143	0.496503	131	0.000000	5.000000	698	0.633238	0.059386	0	0.000000	0.527000	0.583947	
719	0.643950	16	0.437500	127	0.496063	138	0.007246	5.000000	719	0.643950	0.059386	0	0.000000	0.534000	0.579785	
692	0.638728	37	0.567568	115	0.617391	156	0.006410	5.000000	692	0.638728	0.059386	0	0.000000	0.535000	0.576340	
686	0.634111	29	0.586207	139	0.582734	146	0.020548	5.000000	686	0.634111	0.059386	0	0.000000	0.536000	0.573459	
692	0.638728	24	0.500000	142	0.535211	142	0.007042	5.000000	692	0.638728	0.059386	0	0.000000	0.531000	0.570629	
698	0.603152	38	0.578947	131	0.427481	133	0.000000	5.000000	698	0.603152	0.059386	0	0.000000	0.499000	0.566152	
696	0.649425	42	0.714286	125	0.552000	137	0.007299	5.000000	696	0.649425	0.059386	0	0.000000	0.552000	0.565320	
652	0.631902	47	0.659574	160	0.487500	141	0.000000	5.000000	652	0.631902	0.059386	0	0.000000	0.521000	0.562858	
698	0.626074	54	0.685185	116	0.586207	132	0.000000	5.000000	698	0.626074	0.059386	0	0.000000	0.542000	0.561760	
688	0.622093	46	0.630435	129	0.527132	137	0.000000	5.000000	688	0.622093	0.059386	0	0.000000	0.525000	0.559922	
675	0.648889	39	0.410256	150	0.573333	136	0.007353	5.000000	675	0.648889	0.059386	0	0.000000	0.541000	0.559021	
680	0.655882	31	0.483871	151	0.635762	138	0.000000	5.000000	680	0.655882	0.059386	0	0.000000	0.557000	0.558929	
687	0.649199	29	0.551724	165	0.551515	119	0.000000	5.000000	687	0.649199	0.059386	0	0.000000	0.553000	0.558671	
683	0.648609	20	0.600000	158	0.613924	139	0.007194	5.000000	683	0.648609	0.059386	0	0.000000	0.553000	0.558435	
696	0.626437	22	0.727273	144	0.513889	138	0.000000	5.000000	696	0.626437	0.059386	0	0.000000	0.526000	0.557138	
697	0.631277	28	0.750000	148	0.601351	127	0.000000	5.000000	697	0.631277	0.059386	0	0.000000	0.550000	0.556863	
687	0.590975	33	0.696970	127	0.551181	153	0.013072	5.000000	687	0.590975	0.059386	0	0.000000	0.501000	0.554794	
689	0.596517	43	0.627907	129	0.635659	139	0.007194	5.000000	689	0.596517	0.059386	0	0.000000	0.521000	0.553587	
718	0.635097	36	0.666667	123	0.593496	123	0.008130	5.000000	718	0.635097	0.059386	0	0.000000	0.554000	0.553602	
706	0.637394	33	0.484848	127	0.590551	134	0.000000	5.000000	706	0.637394	0.059386	0	0.000000	0.541000	0.553182	
701	0.641940	46	0.652174	128	0.617188	125	0.008000	5.000000	701	0.641940	0.059386	0	0.000000	0.560000	0.553402	
691	0.584660	33	0.575758	127	0.637795	149	0.006711	5.000000	691	0.584660	0.059386	0	0.000000	0.505000	0.551889	
659	0.647951	36	0.611111	167	0.712575	138	0.007246	5.000000	659	0.647951	0.059386	0	0.000000	0.569000	0.552408	
686	0.622449	36	0.388889	147	0.585034	131	0.000000	5.000000	686	0.622449	0.059386	0	0.000000	0.527000	0.551660	
704	0.664773	42	0.690476	136	0.500000	118	0.000000	5.000000	704	0.664773	0.059386	0	0.000000	0.565000	0.552041	
704	0.623580	37	0.594595	132	0.515152	127	0.023622	5.000000	704	0.623580	0.059386	0	0.000000	0.532000	0.551485	
703	0.638691	36	0.472222	139	0.733813	122	0.008197	5.000000	703	0.638691	0.059386	0	0.000000	0.569000	0.551958	
664	0.626506	40	0.525000	149	0.644295	147	0.000000	5.000000	664	0.626506	0.059386	0	0.000000	0.533000	0.551459	
728	0.616758	8	0.625000	132	0.734848	132	0.015152	5.000000	728	0.616758	0.059386	0	0.000000	0.553000	0.551499	
704	0.649148	17	0.764706	142	0.704225	137	0.021898	5.000000	704	0.649148	0.059386	0	0.000000	0.573000	0.552036	
707	0.666195	15	0.266667	142	0.676056	136	0.007353	5.000000	707	0.666195	0.059386	0	0.000000	0.572000	0.552523	
703	0.634424	21	0.809524	140	0.685714	136	0.014706	5.000000	703	0.634424	0.059386	0	0.000000	0.561000	0.552725	
711	0.641350	15	0.466667	125	0.704000	149	0.006711	5.000000	711	0.641350	0.059386	0	0.000000	0.552000	0.552708	
453	0.562914	49	0.530612	257	0.743191	241	0.000000	5.000000	453	0.562914	0.059386	0	0.000000	0.472000	0.550874	
113	0.486726	66	0.606061	420	0.578571	401	0.004988	5.000000	113	0.486726	0.059386	0	0.000000	0.340000	0.546188	
311	0.527331	68	0.558824	333	0.642643	288	0.010417	5.000000	311	0.527331	0.059386	0	0.000000	0.419000	0.543423	
699	0.628040	30	0.500000	134	0.656716	137	0.021898	5.000000	699	0.628040	0.059386	0	0.000000	0.545000	0.543457	
684	0.627193	28	0.607143	146	0.657534	142	0.014085	5.000000	684	0.627193	0.059386	0	0.000000	0.544000	0.543468	
679	0.618557	16	0.687500	157	0.490446	148	0.000000	5.000000	679	0.618557	0.059386	0	0.000000	0.508000	0.542744	
713	0.625526	25	0.440000	129	0.666667	133	0.022556	5.000000	713	0.625526	0.059386	0	0.000000	0.546000	0.542809	
680	0.633824	35	0.657143	149	0.711409	136	0.022059	5.000000	680	0.633824	0.059386	0	0.000000	0.563000	0.543205	
693	0.627706	28	0.500000	131	0.595420	148	0.013514	5.000000	693	0.627706	0.059386	0	0.000000	0.529000	0.542932	
681	0.593245	34	0.676471	147	0.748299	138	0.000000	5.000000	681	0.593245	0.059386	0	0.000000	0.537000	0.542820	
694	0.677233	25	0.720000	148	0.581081	133	0.007519	5.000000	694	0.677233	0.059386	0	0.000000	0.575000	0.543416	
668	0.616766	38	0.684211	155	0.561290	139	0.021583	5.000000	668	0.616766	0.059386	0	0.000000	0.528000	0.543136	
686	0.639942	28	0.535714	136	0.558824	150	0.020000	5.000000	686	0.639942	0.059386	0	0.000000	0.533000	0.542955	
707	0.626591	32	0.531250	137	0.547445	124	0.008065	5.000000	707	0.626591	0.059386	0	0.000000	0.536000	0.542833	
700	0.622857	40	0.625000	124	0.653226	136	0.029412	5.000000	700	0.622857	0.059386	0	0.000000	0.546000	0.542887	
710	0.649296	34	0.558824	126	0.587302	130	0.023077	5.000000	710	0.649296	0.059386	0	0.000000	0.557000	0.543126	
698	0.648997	17	0.705882	145	0.503448	140	0.000000	5.000000	698	0.648997	0.059386	0	0.000000	0.538000	0.543041	
653	0.647779	48	0.666667	145	0.482759	154	0.000000	5.000000	653	0.647779	0.059386	0	0.000000	0.525000	0.542745	
684	0.634503	50	0.720000	133	0.646617	133	0.022556	5.000000	684	0.634503	0.059386	0	0.000000	0.559000	0.543007	
686	0.658892	43	0.627907	124	0.637097	147	0.013605	5.000000	686	0.658892	0.059386	0	0.000000	0.560000	0.543277	
708	0.637006	33	0.636364	119	0.470588	140	0.007143	5.000000	708	0.637006	0.059386	0	0.000000	0.529000	0.543054	
699	0.603720	30	0.766667	138	0.507246	133	0.015038	5.000000	699	0.603720	0.059386	0	0.000000	0.517000	0.542653	
693	0.629149	29	0.413793	136	0.544118	142	0.007042	5.000000	693	0.629149	0.059386	0	0.000000	0.523000	0.542355	
717	0.638773	30	0.633333	129	0.472868	124	0.008065	5.000000	717	0.638773	0.059386	0	0.000000	0.539000	0.542305	
704	0.639205	27	0.592593	154	0.324675	115	0.000000	5.000000	704	0.639205	0.059386	0	0.000000	0.516000	0.541919	
722	0.634349	22	0.590909	133	0.466165	123	0.000000	5.000000	722	0.634349	0.059386	0	0.000000	0.533000	0.541789	
699	0.625179	29	0.758621	129	0.279070	143	0.013986	5.000000	699	0.625179	0.059386	0	0.000000	0.497000	0.541149	
722	0.628809	11	0.727273	128	0.531250	139	0.014388	5.000000	722	0.628809	0.059386	0	0.000000	0.532000	0.541021	
731	0.608755	4	0.500000	135	0.437037	130	0.023077	5.000000	731	0.608755	0.059386	0	0.000000	0.509000	0.540576	
698	0.630372	25	0.760000	151	0.549669	126	0.000000	5.000000	698	0.630372	0.059386	0	0.000000	0.542000	0.540595	
681	0.572687	32	0.437500	150	0.540000	137	0.000000	5.000000	681	0.572687	0.059386	0	0.000000	0.485000	0.539844	
687	0.657933	32	0.687500	136	0.433824	145	0.000000	5.000000	687	0.657933	0.059386	0	0.000000	0.533000	0.539753	
690	0.620290	40	0.875000	132	0.545455	138	0.007246	5.000000	690	0.620290	0.059386	0	0.000000	0.536000	0.539703	
664	0.614458	46	0.695652	131	0.610687	159	0.000000	5.000000	664	0.614458	0.059386	0	0.000000	0.520000	0.539448	
681	0.653451	53	0.603774	128	0.531250	138	0.014493	5.000000	681	0.653451	0.059386	0	0.000000	0.547000	0.539544	
664	0.621988	40	0.500000	150	0.560000	146	0.013699	5.000000	664	0.621988	0.059386	0	0.000000	0.519000	0.539284	
698	0.626074	31	0.612903	132	0.613636	139	0.014388	5.000000	698	0.626074	0.059386	0	0.000000	0.539000	0.539281	
673	0.621100	44	0.590909	136	0.610294	147	0.000000	5.000000	673	0.621100	0.059386	0	0.000000	0.527000	0.539129	
694	0.657061	34	0.676471	137	0.708029	135	0.007407	5.000000	694	0.657061	0.059386	0	0.000000	0.577000	0.539591	
674	0.642433	53	0.509434	141	0.652482	132	0.000000	5.000000	674	0.642433	0.059386	0	0.000000	0.552000	0.539740	
681	0.643172	33	0.666667	141	0.617021	145	0.006897	5.000000	681	0.643172	0.059386	0	0.000000	0.548000	0.539839	
705	0.653901	52	0.673077	114	0.657895	129	0.015504	5.000000	705	0.653901	0.059386	0	0.000000	0.573000	0.540229	
699	0.629471	37	0.621622	145	0.668966	119	0.016807	5.000000	699	0.629471	0.059386	0	0.000000	0.562000	0.540482	
689	0.642961	37	0.702703	149	0.610738	125	0.024000	5.000000	689	0.642961	0.059386	0	0.000000	0.563000	0.540741	
695	0.608633	35	0.514286	136	0.544118	134	0.014925	5.000000	695	0.608633	0.059386	0	0.000000	0.517000	0.540471	
686	0.632653	45	0.644444	131	0.610687	138	0.021739	5.000000	686	0.632653	0.059386	0	0.000000	0.546000	0.540533	
686	0.666181	22	0.772727	133	0.421053	159	0.006289	5.000000	686	0.666181	0.059386	0	0.000000	0.531000	0.540427	
702	0.629630	25	0.760000	139	0.474820	134	0.000000	5.000000	702	0.629630	0.059386	0	0.000000	0.527000	0.540280	
673	0.604755	31	0.483871	151	0.423841	145	0.006897	5.000000	673	0.604755	0.059386	0	0.000000	0.487000	0.539701	
702	0.631054	39	0.589744	134	0.522388	125	0.024000	5.000000	702	0.631054	0.059386	0	0.000000	0.539000	0.539693	
682	0.649560	47	0.553191	131	0.633588	140	0.021429	5.000000	682	0.649560	0.059386	0	0.000000	0.555000	0.539856	
710	0.619718	30	0.533333	135	0.562963	125	0.000000	5.000000	710	0.619718	0.059386	0	0.000000	0.532000	0.539773	
657	0.665145	49	0.714286	157	0.681529	137	0.000000	5.000000	657	0.665145	0.059386	0	0.000000	0.579000	0.540182	
684	0.611111	30	0.633333	147	0.564626	139	0.021583	5.000000	684	0.611111	0.059386	0	0.000000	0.523000	0.540005	
710	0.629577	42	0.714286	115	0.513043	133	0.022556	5.000000	710	0.629577	0.059386	0	0.000000	0.539000	0.539994	
669	0.612855	46	0.586957	147	0.585034	138	0.007246	5.000000	669	0.612855	0.059386	0	0.000000	0.524000	0.539833	
683	0.636896	41	0.487805	137	0.569343	139	0.014388	5.000000	683	0.636896	0.059386	0	0.000000	0.535000	0.539785	
677	0.641064	32	0.625000	125	0.536000	166	0.012048	5.000000	677	0.641064	0.059386	0	0.000000	0.523000	0.539618	
700	0.610000	32	0.593750	151	0.582781	117	0.008547	5.000000	700	0.610000	0.059386	0	0.000000	0.535000	0.539573	
692	0.614162	36	0.694444	149	0.610738	123	0.008130	5.000000	692	0.614162	0.059386	0	0.000000	0.542000	0.539597	
670	0.594030	45	0.555556	156	0.570513	129	0.000000	5.000000	670	0.594030	0.059386	0	0.000000	0.512000	0.539331	
693	0.630592	38	0.710526	138	0.572464	131	0.015267	5.000000	693	0.630592	0.059386	0	0.000000	0.545000	0.539385	
682	0.646628	43	0.581395	130	0.569231	145	0.000000	5.000000	682	0.646628	0.059386	0	0.000000	0.540000	0.539391	
679	0.628866	21	0.714286	138	0.630435	162	0.000000	5.000000	679	0.628866	0.059386	0	0.000000	0.529000	0.539294	
693	0.606061	23	0.565217	146	0.410959	138	0.000000	5.000000	693	0.606061	0.059386	0	0.000000	0.493000	0.538865	
668	0.615269	11	0.363636	179	0.631285	142	0.000000	5.000000	668	0.615269	0.059386	0	0.000000	0.528000	0.538766	
718	0.604457	16	0.812500	138	0.543478	128	0.007812	5.000000	718	0.604457	0.059386	0	0.000000	0.523000	0.538622	
693	0.626263	28	0.678571	129	0.589147	150	0.013333	5.000000	693	0.626263	0.059386	0	0.000000	0.531000	0.538554	
690	0.624638	25	0.520000	145	0.717241	140	0.000000	5.000000	690	0.624638	0.059386	0	0.000000	0.548000	0.538638	
678	0.607670	22	0.636364	140	0.535714	160	0.006250	5.000000	678	0.607670	0.059386	0	0.000000	0.502000	0.538314	
723	0.594744	18	0.722222	138	0.644928	121	0.016529	5.000000	723	0.594744	0.059386	0	0.000000	0.534000	0.538276	
692	0.604046	35	0.600000	118	0.550847	155	0.012903	5.000000	692	0.604046	0.059386	0	0.000000	0.506000	0.537995	
687	0.643377	50	0.740000	143	0.706294	120	0.000000	5.000000	687	0.643377	0.059386	0	0.000000	0.580000	0.538357	
680	0.658824	39	0.666667	151	0.721854	130	0.007692	5.000000	680	0.658824	0.059386	0	0.000000	0.584000	0.538748	
708	0.620056	33	0.575758	126	0.634921	133	0.000000	5.000000	708	0.620056	0.059386	0	0.000000	0.538000	0.538741	
658	0.591185	32	0.562500	162	0.679012	148	0.000000	5.000000	658	0.591185	0.059386	0	0.000000	0.517000	0.538558	
686	0.666181	32	0.656250	143	0.587413	139	0.007194	5.000000	686	0.666181	0.059386	0	0.000000	0.563000	0.538762	
671	0.642325	38	0.473684	141	0.588652	150	0.000000	5.000000	671	0.642325	0.059386	0	0.000000	0.532000	0.538706	
698	0.638968	34	0.764706	135	0.600000	133	0.000000	5.000000	698	0.638968	0.059386	0	0.000000	0.553000	0.538823	
717	0.595537	28	0.428571	130	0.630769	125	0.024000	5.000000	717	0.595537	0.059386	0	0.000000	0.524000	0.538703	
692	0.609827	41	0.707317	129	0.674419	138	0.000000	5.000000	692	0.609827	0.059386	0	0.000000	0.538000	0.538697	
690	0.634783	34	0.647059	133	0.488722	143	0.013986	5.000000	690	0.634783	0.059386	0	0.000000	0.527000	0.538604	
683	0.597365	23	0.782609	156	0.596154	138	0.000000	5.000000	683	0.597365	0.059386	0	0.000000	0.519000	0.538448	
705	0.624113	33	0.727273	133	0.578947	129	0.007752	5.000000	705	0.624113	0.059386	0	0.000000	0.542000	0.538476	
692	0.619942	38	0.684211	152	0.559211	118	0.008475	5.000000	692	0.619942	0.059386	0	0.000000	0.541000	0.538496	
683	0.638360	36	0.722222	132	0.712121	149	0.026846	5.000000	683	0.638360	0.059386	0	0.000000	0.560000	0.538662	
688	0.659884	38	0.710526	136	0.588235	138	0.000000	5.000000	688	0.659884	0.059386	0	0.000000	0.561000	0.538834	
671	0.625931	35	0.600000	153	0.692810	141	0.000000	5.000000	671	0.625931	0.059386	0	0.000000	0.547000	0.538897	
718	0.630919	33	0.636364	111	0.576577	138	0.000000	5.000000	718	0.630919	0.059386	0	0.000000	0.538000	0.538890	
691	0.623734	30	0.566667	141	0.581560	138	0.007246	5.000000	691	0.623734	0.059386	0	0.000000	0.531000	0.538831	
699	0.625179	16	0.437500	152	0.519737	133	0.000000	5.000000	699	0.625179	0.059386	0	0.000000	0.523000	0.538712	
691	0.607815	25	0.720000	142	0.654930	142	0.014085	5.000000	691	0.607815	0.059386	0	0.000000	0.533000	0.538670	
673	0.619614	32	0.500000	151	0.430464	144	0.006944	5.000000	673	0.619614	0.059386	0	0.000000	0.499000	0.538378	
705	0.632624	40	0.650000	125	0.624000	130	0.015385	5.000000	705	0.632624	0.059386	0	0.000000	0.552000	0.538478	
691	0.607815	29	0.758621	140	0.771429	140	0.000000	5.000000	691	0.607815	0.059386	0	0.000000	0.550000	0.538561	
705	0.635461	25	0.480000	130	0.661538	140	0.000000	5.000000	705	0.635461	0.059386	0	0.000000	0.546000	0.538615	
701	0.650499	33	0.575758	125	0.664000	141	0.007092	5.000000	701	0.650499	0.059386	0	0.000000	0.559000	0.538760	
689	0.626996	23	0.652174	138	0.637681	150	0.013333	5.000000	689	0.626996	0.059386	0	0.000000	0.537000	0.538748	
694	0.662824	31	0.548387	127	0.590551	148	0.000000	5.000000	694	0.662824	0.059386	0	0.000000	0.552000	0.538841	
658	0.627660	19	0.736842	142	0.626761	181	0.011050	5.000000	658	0.627660	0.059386	0	0.000000	0.518000	0.538696	
666	0.657658	30	0.666667	152	0.631579	152	0.019737	5.000000	666	0.657658	0.059386	0	0.000000	0.557000	0.538823	
688	0.658430	21	0.761905	142	0.549296	149	0.013423	5.000000	688	0.658430	0.059386	0	0.000000	0.549000	0.538893	
676	0.599112	32	0.500000	137	0.554745	155	0.006452	5.000000	676	0.599112	0.059386	0	0.000000	0.498000	0.538613	
690	0.581159	15	0.666667	150	0.466667	145	0.006897	5.000000	690	0.581159	0.059386	0	0.000000	0.482000	0.538228	
721	0.603329	23	0.739130	128	0.648438	128	0.007812	5.000000	721	0.603329	0.059386	0	0.000000	0.536000	0.538213	
696	0.625000	28	0.571429	130	0.515385	146	0.000000	5.000000	696	0.625000	0.059386	0	0.000000	0.518000	0.538077	
687	0.634643	24	0.416667	143	0.510490	146	0.000000	5.000000	687	0.634643	0.059386	0	0.000000	0.519000	0.537950	
696	0.622126	19	0.789474	147	0.557823	138	0.007246	5.000000	696	0.622126	0.059386	0	0.000000	0.531000	0.537904	
703	0.591750	11	0.727273	134	0.701493	152	0.013158	5.000000	703	0.591750	0.059386	0	0.000000	0.520000	0.537786	
708	0.603107	28	0.678571	142	0.584507	122	0.000000	5.000000	708	0.603107	0.059386	0	0.000000	0.529000	0.537729	
677	0.618907	30	0.566667	148	0.635135	145	0.006897	5.000000	677	0.618907	0.059386	0	0.000000	0.531000	0.537685	
682	0.636364	33	0.757576	146	0.431507	139	0.007194	5.000000	682	0.636364	0.059386	0	0.000000	0.523000	0.537590	
701	0.629101	20	0.500000	139	0.553957	140	0.000000	5.000000	701	0.629101	0.059386	0	0.000000	0.528000	0.537529	
711	0.620253	13	0.461538	138	0.485507	138	0.007246	5.000000	711	0.620253	0.059386	0	0.000000	0.515000	0.537385	
728	0.657967	7	0.714286	137	0.445255	128	0.000000	5.000000	728	0.657967	0.059386	0	0.000000	0.545000	0.537433	
722	0.606648	5	0.400000	115	0.678261	158	0.006329	5.000000	722	0.606648	0.059386	0	0.000000	0.519000	0.537317	
692	0.644509	7	0.142857	146	0.452055	155	0.000000	5.000000	692	0.644509	0.059386	0	0.000000	0.513000	0.537165	
697	0.624103	13	0.692308	154	0.480519	136	0.014706	5.000000	697	0.624103	0.059386	0	0.000000	0.520000	0.537059	
691	0.609262	28	0.464286	161	0.540373	120	0.016667	5.000000	691	0.609262	0.059386	0	0.000000	0.523000	0.536972	
687	0.602620	12	0.833333	151	0.615894	150	0.026667	5.000000	687	0.602620	0.059386	0	0.000000	0.521000	0.536874	
690	0.634783	36	0.722222	122	0.672131	152	0.006579	5.000000	690	0.634783	0.059386	0	0.000000	0.547000	0.536936	
688	0.639535	43	0.581395	140	0.685714	129	0.000000	5.000000	688	0.639535	0.059386	0	0.000000	0.561000	0.537082	
667	0.626687	35	0.457143	140	0.607143	158	0.006329	5.000000	667	0.626687	0.059386	0	0.000000	0.520000	0.536979	
697	0.658537	21	0.571429	141	0.553191	141	0.014184	5.000000	697	0.658537	0.059386	0	0.000000	0.551000	0.537063	
704	0.656250	10	0.700000	158	0.575949	128	0.031250	5.000000	704	0.656250	0.059386	0	0.000000	0.564000	0.537223	
696	0.622126	21	0.523810	134	0.335821	149	0.006711	5.000000	696	0.622126	0.059386	0	0.000000	0.490000	0.536944	
679	0.642121	32	0.718750	151	0.615894	138	0.000000	5.000000	679	0.642121	0.059386	0	0.000000	0.552000	0.537032	
692	0.622832	31	0.516129	130	0.484615	147	0.006803	5.000000	692	0.622832	0.059386	0	0.000000	0.511000	0.536880	
698	0.643266	31	0.548387	125	0.472000	146	0.013699	5.000000	698	0.643266	0.059386	0	0.000000	0.527000	0.536822	
709	0.630465	38	0.500000	128	0.664062	125	0.000000	5.000000	709	0.630465	0.059386	0	0.000000	0.551000	0.536904	
682	0.655425	38	0.578947	145	0.641379	135	0.000000	5.000000	682	0.655425	0.059386	0	0.000000	0.562000	0.537049	
697	0.639885	13	0.538462	122	0.557377	168	0.000000	5.000000	697	0.639885	0.059386	0	0.000000	0.521000	0.536957	
691	0.602026	19	0.736842	140	0.564286	150	0.000000	5.000000	691	0.602026	0.059386	0	0.000000	0.509000	0.536798	
703	0.627312	2	0.500000	164	0.475610	131	0.000000	5.000000	703	0.627312	0.059386	0	0.000000	0.520000	0.536703	
698	0.644699	14	0.642857	132	0.590909	156	0.019231	5.000000	698	0.644699	0.059386	0	0.000000	0.540000	0.536722	
713	0.635344	15	0.733333	145	0.627586	127	0.015748	5.000000	713	0.635344	0.059386	0	0.000000	0.557000	0.536835	
702	0.623932	19	0.684211	144	0.500000	135	0.007407	5.000000	702	0.623932	0.059386	0	0.000000	0.524000	0.536764	
683	0.628111	26	0.692308	141	0.638298	150	0.006667	5.000000	683	0.628111	0.059386	0	0.000000	0.538000	0.536771	
678	0.617994	45	0.688889	124	0.483871	153	0.006536	5.000000	678	0.617994	0.059386	0	0.000000	0.511000	0.536629	
691	0.609262	33	0.515152	130	0.669231	146	0.006849	5.000000	691	0.609262	0.059386	0	0.000000	0.526000	0.536571	
674	0.603858	33	0.727273	145	0.613793	148	0.000000	5.000000	674	0.603858	0.059386	0	0.000000	0.520000	0.536481	
702	0.653846	41	0.682927	129	0.604651	128	0.000000	5.000000	702	0.653846	0.059386	0	0.000000	0.565000	0.536635	
698	0.630372	30	0.466667	138	0.601449	134	0.000000	5.000000	698	0.630372	0.059386	0	0.000000	0.537000	0.536637	
734	0.649864	15	0.733333	124	0.596774	127	0.000000	5.000000	734	0.649864	0.059386	0	0.000000	0.562000	0.536773	
705	0.625532	15	0.733333	138	0.710145	142	0.000000	5.000000	705	0.625532	0.059386	0	0.000000	0.550000	0.536843	
727	0.656121	30	0.600000	121	0.537190	122	0.016393	5.000000	727	0.656121	0.059386	0	0.000000	0.562000	0.536976	
685	0.646715	25	0.480000	149	0.570470	141	0.007092	5.000000	685	0.646715	0.059386	0	0.000000	0.541000	0.536997	
700	0.627143	36	0.611111	145	0.468966	119	0.000000	5.000000	700	0.627143	0.059386	0	0.000000	0.529000	0.536955	
699	0.619456	31	0.516129	143	0.454545	127	0.000000	5.000000	699	0.619456	0.059386	0	0.000000	0.514000	0.536836	
657	0.578387	29	0.758621	155	0.541935	159	0.012579	5.000000	657	0.578387	0.059386	0	0.000000	0.488000	0.536583	
684	0.614035	29	0.655172	149	0.516779	138	0.007246	5.000000	684	0.614035	0.059386	0	0.000000	0.517000	0.536482	
695	0.644604	32	0.781250	146	0.547945	127	0.000000	5.000000	695	0.644604	0.059386	0	0.000000	0.553000	0.536566	
710	0.649296	23	0.826087	117	0.641026	150	0.026667	5.000000	710	0.649296	0.059386	0	0.000000	0.559000	0.536681	
659	0.619120	42	0.571429	152	0.638158	147	0.000000	5.000000	659	0.619120	0.059386	0	0.000000	0.529000	0.536642	
664	0.618976	46	0.630435	149	0.644295	141	0.000000	5.000000	664	0.618976	0.059386	0	0.000000	0.536000	0.536639	
658	0.610942	46	0.630435	148	0.594595	148	0.020270	5.000000	658	0.610942	0.059386	0	0.000000	0.522000	0.536565	
