Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.322478	-1.322478
1	0.950747	750	-1.317640	-2.640118
2	0.926679	750	-1.366151	-4.006268
3	0.902980	750	-1.307555	-5.313823
4	0.879648	750	-1.289988	-6.603811
5	0.856682	750	-1.293936	-7.897747
6	0.834079	750	-1.244938	-9.142685
7	0.811838	750	-1.220057	-10.362742
8	0.789957	750	-1.216159	-11.578901
9	0.768433	750	-1.181623	-12.760525
10	0.747266	750	-1.180518	-13.941043
11	0.726452	750	-1.157368	-15.098411
12	0.705989	750	-1.119559	-16.217970
13	0.685877	750	-1.176653	-17.394623
14	0.666112	750	-1.151352	-18.545976
15	0.646693	750	-1.161343	-19.707318
16	0.627618	750	-1.075061	-20.782379
17	0.608884	750	-1.066842	-21.849221
18	0.590490	750	-1.052411	-22.901633
19	0.572433	750	-1.042411	-23.944043
20	0.554712	750	-1.025882	-24.969926
21	0.537324	750	-0.999150	-25.969076
22	0.520268	750	-0.959249	-26.928325
23	0.503540	750	-0.944002	-27.872327
24	0.487139	750	-0.950697	-28.823025
25	0.471063	750	-0.949446	-29.772470
26	0.455310	750	-0.894946	-30.667417
27	0.439877	750	-0.913692	-31.581109
28	0.424762	750	-0.916664	-32.497773
29	0.409963	750	-0.881483	-33.379256
30	0.395478	750	-0.889137	-34.268393
31	0.381305	750	-0.850822	-35.119215
32	0.367440	750	-0.777424	-35.896639
33	0.353883	750	-0.749938	-36.646577
34	0.340630	750	-0.741239	-37.387815
35	0.327680	750	-0.736812	-38.124627
36	0.315030	750	-0.715545	-38.840172
37	0.302677	750	-0.856558	-39.696730
38	0.290619	750	-0.847693	-40.544422
39	0.278855	750	-0.834231	-41.378654
40	0.267381	750	-0.817169	-42.195822
41	0.256195	750	-0.836124	-43.031947
42	0.245294	750	-0.848508	-43.880455
43	0.234677	750	-0.789468	-44.669923
44	0.224340	750	-0.759719	-45.429641
45	0.214281	750	-0.744273	-46.173914
46	0.204498	750	-0.732318	-46.906232
47	0.194988	750	-0.672536	-47.578768
48	0.185749	750	-0.698092	-48.276860
49	0.176777	750	-0.638735	-48.915595
50	0.168070	750	-0.622326	-49.537920
51	0.159626	750	-0.599720	-50.137641
52	0.151441	750	-0.570971	-50.708612
53	0.143514	750	-0.559453	-51.268064
54	0.135841	750	-0.539809	-51.807873
55	0.128420	750	-0.526643	-52.334516
56	0.121247	750	-0.522744	-52.857260
57	0.114320	750	-0.538604	-53.395865
58	0.107637	750	-0.508200	-53.904065
59	0.101193	750	-0.485293	-54.389358
60	0.094986	750	-0.439455	-54.828813
61	0.089014	750	-0.431465	-55.260279
62	0.083273	750	-0.420652	-55.680931
63	0.077760	750	-0.403970	-56.084901
64	0.072472	750	-0.400144	-56.485045
65	0.067406	750	-0.364202	-56.849247
66	0.062558	750	-0.351407	-57.200654
67	0.057926	750	-0.352691	-57.553345
68	0.053506	750	-0.373537	-57.926882
69	0.049295	750	-0.339942	-58.266824
70	0.045289	750	-0.334911	-58.601735
71	0.041485	750	-0.337362	-58.939097
72	0.037880	750	-0.294915	-59.234012
73	0.034469	750	-0.260766	-59.494778
74	0.031250	750	-0.245663	-59.740441
75	0.028218	750	-0.238950	-59.979391
76	0.025370	750	-0.222315	-60.201705
77	0.022702	750	-0.214812	-60.416518
78	0.020209	750	-0.210994	-60.627512
79	0.017889	750	-0.191277	-60.818788
80	0.015736	750	-0.166747	-60.985535
81	0.013746	750	-0.161911	-61.147446
82	0.011916	750	-0.203098	-61.350544
83	0.010240	750	-0.137190	-61.487734
84	0.008714	750	-0.132993	-61.620726
85	0.007334	750	-0.130047	-61.750773
86	0.006093	750	-0.104227	-61.855000
87	0.004988	750	-0.080678	-61.935678
88	0.004013	750	-0.074415	-62.010094
89	0.003162	750	-0.062526	-62.072620
90	0.002430	750	-0.052566	-62.125186
91	0.001810	750	-0.045840	-62.171025
92	0.001296	750	-0.040804	-62.211829
93	0.000882	750	-0.038264	-62.250093
94	0.000559	750	-0.025576	-62.275669
95	0.000320	750	-0.018913	-62.294582
96	0.000156	750	-0.013765	-62.308348
97	0.000057	750	-0.008125	-62.316473
98	0.000010	750	-0.008084	-62.324557
99	0.000000	750	-0.009263	-62.333820
Log marginal likelihood:	-62.333820
