Rate	62.50
Rev Jump	12.50
Tree Move	12.50
Global Rate	12.50
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Global Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Global Rate - Dev	Global Rate - Tried	Global Rate - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
673	0.618128	68	0.470588	133	0.676692	126	0.000000	5.000000	673	0.618128	0.291756	0	0.000000	0.538000	0.611853	
671	0.606557	39	0.666667	153	0.594771	137	0.000000	5.000000	671	0.606557	0.291756	0	0.000000	0.524000	0.604533	
701	0.630528	29	0.551724	136	0.698529	134	0.000000	5.000000	701	0.630528	0.291756	0	0.000000	0.553000	0.600569	
673	0.650817	40	0.475000	141	0.638298	146	0.000000	5.000000	673	0.650817	0.291756	0	0.000000	0.547000	0.596743	
679	0.611193	26	0.461538	138	0.731884	157	0.000000	5.000000	679	0.611193	0.291756	0	0.000000	0.528000	0.592161	
676	0.621302	45	0.511111	145	0.710345	134	0.000000	5.000000	676	0.621302	0.291756	0	0.000000	0.546000	0.589276	
666	0.596096	71	0.464789	139	0.647482	124	0.000000	5.000000	666	0.596096	0.291756	0	0.000000	0.520000	0.585201	
682	0.624633	47	0.468085	131	0.541985	140	0.000000	5.000000	682	0.624633	0.291756	0	0.000000	0.519000	0.581523	
680	0.658824	47	0.595745	142	0.542254	131	0.000000	5.000000	680	0.658824	0.291756	0	0.000000	0.553000	0.580022	
680	0.605882	53	0.547170	138	0.644928	129	0.000000	5.000000	680	0.605882	0.291756	0	0.000000	0.530000	0.577521	
683	0.642753	36	0.611111	152	0.585526	129	0.000000	5.000000	683	0.642753	0.291756	0	0.000000	0.550000	0.576211	
665	0.651128	49	0.612245	160	0.625000	126	0.000000	5.000000	665	0.651128	0.291756	0	0.000000	0.563000	0.575610	
671	0.651267	43	0.488372	131	0.618321	155	0.000000	5.000000	671	0.651267	0.291756	0	0.000000	0.539000	0.574019	
662	0.651057	42	0.500000	160	0.606250	136	0.007353	5.000000	662	0.651057	0.291756	0	0.000000	0.550000	0.573018	
670	0.641791	58	0.500000	146	0.664384	126	0.007937	5.000000	670	0.641791	0.291756	0	0.000000	0.557000	0.572377	
656	0.643293	65	0.523077	146	0.739726	133	0.007519	5.000000	656	0.643293	0.291756	0	0.000000	0.565000	0.572093	
679	0.628866	54	0.351852	129	0.658915	138	0.007246	5.000000	679	0.628866	0.291756	0	0.000000	0.532000	0.570608	
668	0.666168	57	0.385965	146	0.760274	129	0.000000	5.000000	668	0.666168	0.291756	0	0.000000	0.578000	0.570872	
631	0.676704	53	0.471698	158	0.670886	158	0.006329	5.000000	631	0.676704	0.291756	0	0.000000	0.559000	0.570463	
679	0.612666	52	0.365385	144	0.687500	125	0.008000	5.000000	679	0.612666	0.291756	0	0.000000	0.535000	0.569281	
698	0.621777	36	0.611111	139	0.597122	127	0.015748	5.000000	698	0.621777	0.291756	0	0.000000	0.541000	0.568369	
684	0.612573	47	0.531915	138	0.528986	131	0.000000	5.000000	684	0.612573	0.291756	0	0.000000	0.517000	0.566764	
681	0.638767	60	0.533333	120	0.525000	139	0.000000	5.000000	681	0.638767	0.291756	0	0.000000	0.530000	0.565650	
685	0.632117	63	0.428571	126	0.634921	126	0.000000	5.000000	685	0.632117	0.291756	0	0.000000	0.540000	0.564895	
647	0.661515	70	0.400000	119	0.579832	164	0.000000	5.000000	647	0.661515	0.291756	0	0.000000	0.525000	0.563755	
645	0.638760	76	0.407895	131	0.702290	148	0.006757	5.000000	645	0.638760	0.291756	0	0.000000	0.536000	0.562984	
647	0.599691	74	0.418919	144	0.673611	135	0.000000	5.000000	647	0.599691	0.291756	0	0.000000	0.516000	0.561715	
659	0.605463	77	0.428571	127	0.614173	137	0.000000	5.000000	659	0.605463	0.291756	0	0.000000	0.510000	0.560354	
681	0.577093	52	0.519231	139	0.618705	128	0.000000	5.000000	681	0.577093	0.291756	0	0.000000	0.506000	0.558960	
707	0.647808	57	0.421053	118	0.635593	118	0.000000	5.000000	707	0.647808	0.291756	0	0.000000	0.557000	0.558911	
658	0.623100	48	0.479167	151	0.741722	143	0.000000	5.000000	658	0.623100	0.291756	0	0.000000	0.545000	0.558572	
681	0.616740	53	0.528302	131	0.618321	135	0.000000	5.000000	681	0.616740	0.291756	0	0.000000	0.529000	0.557868	
677	0.644018	50	0.280000	131	0.694656	142	0.000000	5.000000	677	0.644018	0.291756	0	0.000000	0.541000	0.557475	
670	0.643284	49	0.346939	136	0.683824	145	0.006897	5.000000	670	0.643284	0.291756	0	0.000000	0.542000	0.557124	
672	0.629464	44	0.454545	155	0.619355	129	0.000000	5.000000	672	0.629464	0.291756	0	0.000000	0.539000	0.556721	
659	0.631259	43	0.325581	144	0.583333	154	0.000000	5.000000	659	0.631259	0.291756	0	0.000000	0.514000	0.555792	
694	0.634006	25	0.400000	135	0.622222	146	0.006849	5.000000	694	0.634006	0.291756	0	0.000000	0.535000	0.555350	
682	0.642229	42	0.500000	144	0.687500	132	0.000000	5.000000	682	0.642229	0.291756	0	0.000000	0.558000	0.555405	
648	0.612654	52	0.442308	150	0.680000	150	0.000000	5.000000	648	0.612654	0.291756	0	0.000000	0.522000	0.554723	
664	0.620482	68	0.338235	125	0.560000	143	0.000000	5.000000	664	0.620482	0.291756	0	0.000000	0.505000	0.553729	
673	0.661218	80	0.387500	128	0.664062	119	0.000000	5.000000	673	0.661218	0.291756	0	0.000000	0.561000	0.553871	
663	0.647059	71	0.380282	141	0.624113	125	0.000000	5.000000	663	0.647059	0.291756	0	0.000000	0.544000	0.553682	
