Rate	62.50
Rev Jump	12.50
Tree Move	12.50
Global Rate	12.50
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Global Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Global Rate - Dev	Global Rate - Tried	Global Rate - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
653	0.586524	81	0.296296	127	0.677165	139	0.000000	5.000000	653	0.586524	0.363111	0	0.000000	0.493000	0.617308	
654	0.573394	89	0.337079	124	0.629032	133	0.000000	5.000000	654	0.573394	0.363111	0	0.000000	0.483000	0.606116	
644	0.586957	93	0.225806	127	0.574803	136	0.000000	5.000000	644	0.586957	0.363111	0	0.000000	0.472000	0.595800	
662	0.623867	83	0.313253	129	0.651163	126	0.000000	5.000000	662	0.623867	0.363111	0	0.000000	0.523000	0.590601	
656	0.632622	73	0.219178	131	0.519084	140	0.000000	5.000000	656	0.632622	0.363111	0	0.000000	0.499000	0.584494	
629	0.621622	98	0.234694	132	0.643939	141	0.000000	5.000000	629	0.621622	0.363111	0	0.000000	0.499000	0.579151	
677	0.641064	69	0.130435	136	0.647059	118	0.000000	5.000000	677	0.641064	0.363111	0	0.000000	0.531000	0.576319	
664	0.637048	76	0.223684	125	0.648000	135	0.007407	5.000000	664	0.637048	0.363111	0	0.000000	0.522000	0.573301	
649	0.630200	91	0.296703	124	0.524194	136	0.007353	5.000000	649	0.630200	0.363111	0	0.000000	0.502000	0.569549	
654	0.646789	108	0.305556	119	0.554622	119	0.000000	5.000000	654	0.646789	0.363111	0	0.000000	0.522000	0.567172	
658	0.685410	76	0.250000	128	0.695312	138	0.000000	5.000000	658	0.685410	0.363111	0	0.000000	0.559000	0.566783	
669	0.659193	70	0.385714	117	0.529915	144	0.000000	5.000000	669	0.659193	0.363111	0	0.000000	0.530000	0.565111	
642	0.629283	86	0.174419	137	0.627737	135	0.000000	5.000000	642	0.629283	0.363111	0	0.000000	0.505000	0.562497	
659	0.632777	97	0.360825	115	0.634783	129	0.000000	5.000000	659	0.632777	0.363111	0	0.000000	0.525000	0.560935	
629	0.604134	100	0.240000	136	0.573529	135	0.000000	5.000000	629	0.604134	0.363111	0	0.000000	0.482000	0.557778	
651	0.625192	112	0.294643	106	0.660377	131	0.000000	5.000000	651	0.625192	0.363111	0	0.000000	0.510000	0.555940	
665	0.669173	84	0.321429	125	0.648000	126	0.007937	5.000000	665	0.669173	0.363111	0	0.000000	0.554000	0.555868	
649	0.614792	90	0.288889	124	0.677419	137	0.000000	5.000000	649	0.614792	0.363111	0	0.000000	0.509000	0.554194	
669	0.638266	77	0.363636	133	0.601504	121	0.000000	5.000000	669	0.638266	0.363111	0	0.000000	0.535000	0.553533	
654	0.607034	96	0.229167	132	0.507576	118	0.000000	5.000000	654	0.607034	0.363111	0	0.000000	0.486000	0.551282	
669	0.653214	55	0.200000	134	0.664179	142	0.000000	5.000000	669	0.653214	0.363111	0	0.000000	0.537000	0.550821	
647	0.608964	86	0.302326	118	0.516949	149	0.013423	5.000000	647	0.608964	0.363111	0	0.000000	0.483000	0.548702	
646	0.597523	90	0.233333	141	0.624113	123	0.000000	5.000000	646	0.597523	0.363111	0	0.000000	0.495000	0.547074	
629	0.650238	96	0.270833	141	0.609929	134	0.000000	5.000000	629	0.650238	0.363111	0	0.000000	0.521000	0.546307	
676	0.659763	96	0.281250	113	0.601770	115	0.000000	5.000000	676	0.659763	0.363111	0	0.000000	0.541000	0.546156	
657	0.642314	87	0.333333	131	0.618321	125	0.000000	5.000000	657	0.642314	0.363111	0	0.000000	0.532000	0.545763	
651	0.657450	85	0.423529	136	0.647059	128	0.000000	5.000000	651	0.657450	0.363111	0	0.000000	0.552000	0.545931	
628	0.616242	85	0.211765	137	0.562044	150	0.000000	5.000000	628	0.616242	0.363111	0	0.000000	0.482000	0.544249	
659	0.628225	88	0.272727	124	0.524194	129	0.000000	5.000000	659	0.628225	0.363111	0	0.000000	0.503000	0.543191	
628	0.640127	107	0.336449	129	0.612403	136	0.000000	5.000000	628	0.640127	0.363111	0	0.000000	0.517000	0.542536	
638	0.609718	95	0.305263	140	0.542857	127	0.000000	5.000000	638	0.609718	0.363111	0	0.000000	0.494000	0.541353	
628	0.589172	76	0.263158	137	0.613139	159	0.000000	5.000000	628	0.589172	0.363111	0	0.000000	0.474000	0.539749	
649	0.642527	85	0.258824	142	0.492958	124	0.000000	5.000000	649	0.642527	0.363111	0	0.000000	0.509000	0.539034	
665	0.651128	93	0.311828	116	0.620690	126	0.000000	5.000000	665	0.651128	0.363111	0	0.000000	0.534000	0.538920	
634	0.599369	91	0.197802	115	0.478261	160	0.000000	5.000000	634	0.599369	0.363111	0	0.000000	0.453000	0.537010	
665	0.616541	91	0.296703	107	0.607477	137	0.000000	5.000000	665	0.616541	0.363111	0	0.000000	0.502000	0.536249	
676	0.610947	93	0.268817	106	0.547170	125	0.000000	5.000000	676	0.610947	0.363111	0	0.000000	0.496000	0.535393	
686	0.615160	64	0.375000	115	0.713043	135	0.000000	5.000000	686	0.615160	0.363111	0	0.000000	0.528000	0.535239	
691	0.636758	64	0.218750	117	0.606838	128	0.000000	5.000000	691	0.636758	0.363111	0	0.000000	0.525000	0.535030	
635	0.609449	102	0.254902	132	0.553030	131	0.000000	5.000000	635	0.609449	0.363111	0	0.000000	0.486000	0.534049	
633	0.677725	101	0.198020	145	0.668966	121	0.000000	5.000000	633	0.677725	0.363111	0	0.000000	0.546000	0.534284	
673	0.615156	90	0.255556	109	0.587156	128	0.000000	5.000000	673	0.615156	0.363111	0	0.000000	0.501000	0.533644	
639	0.602504	110	0.227273	119	0.596639	132	0.000000	5.000000	639	0.602504	0.363111	0	0.000000	0.481000	0.532650	
623	0.609952	90	0.244444	143	0.601399	144	0.013889	5.000000	623	0.609952	0.363111	0	0.000000	0.490000	0.531861	
639	0.613459	96	0.156250	138	0.695652	127	0.000000	5.000000	639	0.613459	0.363111	0	0.000000	0.503000	0.531336	
671	0.637854	84	0.178571	123	0.512195	122	0.000000	5.000000	671	0.637854	0.363111	0	0.000000	0.506000	0.530883	
648	0.655864	91	0.307692	132	0.628788	129	0.000000	5.000000	648	0.655864	0.363111	0	0.000000	0.536000	0.530973	
628	0.622611	92	0.228261	119	0.521008	161	0.000000	5.000000	628	0.622611	0.363111	0	0.000000	0.474000	0.529991	
632	0.656646	104	0.317308	149	0.583893	115	0.000000	5.000000	632	0.656646	0.363111	0	0.000000	0.535000	0.530076	
642	0.615265	101	0.267327	140	0.628571	117	0.000000	5.000000	642	0.615265	0.363111	0	0.000000	0.510000	0.529741	
652	0.599693	88	0.193182	126	0.650794	134	0.000000	5.000000	652	0.599693	0.363111	0	0.000000	0.490000	0.529090	
624	0.594551	106	0.245283	144	0.625000	126	0.000000	5.000000	624	0.594551	0.363111	0	0.000000	0.487000	0.528411	
659	0.596358	95	0.273684	118	0.584746	128	0.000000	5.000000	659	0.596358	0.363111	0	0.000000	0.488000	0.527769	
647	0.621329	90	0.300000	130	0.546154	133	0.000000	5.000000	647	0.621329	0.363111	0	0.000000	0.500000	0.527336	
644	0.622671	72	0.166667	151	0.602649	133	0.000000	5.000000	644	0.622671	0.363111	0	0.000000	0.504000	0.526977	
683	0.639824	86	0.313953	126	0.690476	105	0.009524	5.000000	683	0.639824	0.363111	0	0.000000	0.552000	0.527356	
638	0.648903	95	0.221053	145	0.634483	122	0.000000	5.000000	638	0.648903	0.363111	0	0.000000	0.527000	0.527350	
645	0.618605	92	0.217391	125	0.672000	138	0.014493	5.000000	645	0.618605	0.363111	0	0.000000	0.505000	0.527022	
640	0.623437	108	0.268519	129	0.612403	123	0.000000	5.000000	640	0.623437	0.363111	0	0.000000	0.507000	0.526731	
678	0.616519	67	0.164179	121	0.528926	134	0.000000	5.000000	678	0.616519	0.363111	0	0.000000	0.493000	0.526250	
630	0.620635	98	0.224490	142	0.711268	130	0.007692	5.000000	630	0.620635	0.363111	0	0.000000	0.515000	0.526091	
657	0.672755	98	0.173469	124	0.588710	121	0.000000	5.000000	657	0.672755	0.363111	0	0.000000	0.532000	0.526173	
662	0.629909	85	0.270588	124	0.572581	129	0.000000	5.000000	662	0.629909	0.363111	0	0.000000	0.511000	0.525965	
667	0.625187	87	0.367816	134	0.604478	112	0.000000	5.000000	667	0.625187	0.363111	0	0.000000	0.530000	0.526020	
644	0.608696	72	0.347222	148	0.567568	136	0.000000	5.000000	644	0.608696	0.363111	0	0.000000	0.501000	0.525686	
675	0.669630	83	0.240964	130	0.600000	112	0.008929	5.000000	675	0.669630	0.363111	0	0.000000	0.551000	0.526019	
621	0.578100	101	0.257426	133	0.593985	145	0.000000	5.000000	621	0.578100	0.363111	0	0.000000	0.464000	0.525214	
656	0.618902	101	0.277228	131	0.618321	112	0.000000	5.000000	656	0.618902	0.363111	0	0.000000	0.515000	0.525083	
615	0.639024	114	0.368421	138	0.586957	133	0.000000	5.000000	615	0.639024	0.363111	0	0.000000	0.516000	0.524968	
640	0.620313	111	0.270270	127	0.661417	122	0.000000	5.000000	640	0.620313	0.363111	0	0.000000	0.511000	0.524793	
639	0.579030	117	0.273504	110	0.681818	134	0.000000	5.000000	639	0.579030	0.363111	0	0.000000	0.477000	0.524203	
673	0.646360	87	0.287356	105	0.619048	135	0.000000	5.000000	673	0.646360	0.363111	0	0.000000	0.525000	0.524213	
653	0.649311	103	0.242718	112	0.705357	132	0.000000	5.000000	653	0.649311	0.363111	0	0.000000	0.528000	0.524259	
641	0.611544	85	0.258824	139	0.553957	135	0.000000	5.000000	641	0.611544	0.363111	0	0.000000	0.491000	0.523863	
645	0.620155	90	0.300000	140	0.507143	125	0.000000	5.000000	645	0.620155	0.363111	0	0.000000	0.498000	0.523559	
665	0.639098	97	0.247423	119	0.563025	119	0.000000	5.000000	665	0.639098	0.363111	0	0.000000	0.516000	0.523471	
670	0.650746	90	0.244444	121	0.595041	119	0.000000	5.000000	670	0.650746	0.363111	0	0.000000	0.530000	0.523546	
641	0.641186	108	0.185185	143	0.629371	108	0.000000	5.000000	641	0.641186	0.363111	0	0.000000	0.521000	0.523517	
684	0.638889	77	0.363636	127	0.582677	112	0.000000	5.000000	684	0.638889	0.363111	0	0.000000	0.539000	0.523691	
686	0.618076	48	0.104167	137	0.554745	129	0.000000	5.000000	686	0.618076	0.363111	0	0.000000	0.505000	0.523483	
641	0.644306	83	0.313253	135	0.562963	141	0.000000	5.000000	641	0.644306	0.363111	0	0.000000	0.515000	0.523390	
628	0.633758	90	0.200000	142	0.669014	140	0.000000	5.000000	628	0.633758	0.363111	0	0.000000	0.511000	0.523255	
670	0.641791	79	0.316456	120	0.758333	131	0.000000	5.000000	670	0.641791	0.363111	0	0.000000	0.546000	0.523500	
676	0.642012	80	0.325000	110	0.690909	134	0.000000	5.000000	676	0.642012	0.363111	0	0.000000	0.536000	0.523633	
661	0.582451	65	0.307692	149	0.489933	125	0.000000	5.000000	661	0.582451	0.363111	0	0.000000	0.478000	0.523152	
659	0.629742	89	0.280899	121	0.661157	131	0.000000	5.000000	659	0.629742	0.363111	0	0.000000	0.520000	0.523120	
704	0.654830	81	0.172840	99	0.676768	116	0.000000	5.000000	704	0.654830	0.363111	0	0.000000	0.542000	0.523314	
634	0.649842	93	0.182796	133	0.616541	140	0.000000	5.000000	634	0.649842	0.363111	0	0.000000	0.511000	0.523189	
639	0.611894	94	0.340426	148	0.695946	119	0.000000	5.000000	639	0.611894	0.363111	0	0.000000	0.526000	0.523217	
626	0.632588	108	0.240741	132	0.674242	134	0.000000	5.000000	626	0.632588	0.363111	0	0.000000	0.511000	0.523095	
636	0.636792	111	0.180180	134	0.738806	119	0.000000	5.000000	636	0.636792	0.363111	0	0.000000	0.524000	0.523104	
646	0.611455	97	0.257732	123	0.601626	134	0.000000	5.000000	646	0.611455	0.363111	0	0.000000	0.494000	0.522818	
642	0.629283	113	0.274336	118	0.669492	127	0.000000	5.000000	642	0.629283	0.363111	0	0.000000	0.514000	0.522733	
651	0.580645	86	0.244186	131	0.419847	132	0.000000	5.000000	651	0.580645	0.363111	0	0.000000	0.454000	0.522072	
