Steppingstone sampler:
        No Stones:                  100
        Start It:                   10010001
        It Per Stone:               1000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.975187	750	-1.291973	-1.291973
1	0.950747	750	-1.242236	-2.534209
2	0.926679	750	-1.232226	-3.766435
3	0.902980	750	-1.212171	-4.978606
4	0.879648	750	-1.194452	-6.173058
5	0.856682	750	-1.182699	-7.355757
6	0.834079	750	-1.207316	-8.563072
7	0.811838	750	-1.148232	-9.711304
8	0.789957	750	-1.121560	-10.832864
9	0.768433	750	-1.097146	-11.930010
10	0.747266	750	-1.068789	-12.998799
11	0.726452	750	-1.110374	-14.109174
12	0.705989	750	-1.119132	-15.228306
13	0.685877	750	-1.040891	-16.269196
14	0.666112	750	-1.059890	-17.329086
15	0.646693	750	-0.980347	-18.309433
16	0.627618	750	-0.958475	-19.267909
17	0.608884	750	-0.925581	-20.193489
18	0.590490	750	-0.991179	-21.184669
19	0.572433	750	-0.923898	-22.108567
20	0.554712	750	-0.928038	-23.036605
21	0.537324	750	-0.892954	-23.929559
22	0.520268	750	-0.873160	-24.802719
23	0.503540	750	-0.879705	-25.682425
24	0.487139	750	-0.864315	-26.546739
25	0.471063	750	-0.936125	-27.482864
26	0.455310	750	-0.857254	-28.340118
27	0.439877	750	-0.803539	-29.143657
28	0.424762	750	-0.753707	-29.897364
29	0.409963	750	-0.822076	-30.719440
30	0.395478	750	-0.774767	-31.494208
31	0.381305	750	-0.776788	-32.270996
32	0.367440	750	-0.722633	-32.993629
33	0.353883	750	-0.761253	-33.754882
34	0.340630	750	-0.694968	-34.449849
35	0.327680	750	-0.718045	-35.167894
36	0.315030	750	-0.668832	-35.836726
37	0.302677	750	-0.677878	-36.514605
38	0.290619	750	-0.624409	-37.139013
39	0.278855	750	-0.613510	-37.752523
40	0.267381	750	-0.603873	-38.356397
41	0.256195	750	-0.792756	-39.149152
42	0.245294	750	-0.688255	-39.837407
43	0.234677	750	-0.602100	-40.439507
44	0.224340	750	-0.698361	-41.137868
45	0.214281	750	-0.601467	-41.739335
46	0.204498	750	-0.660849	-42.400183
47	0.194988	750	-0.656162	-43.056346
48	0.185749	750	-0.649613	-43.705959
49	0.176777	750	-0.618861	-44.324820
50	0.168070	750	-0.591338	-44.916158
51	0.159626	750	-0.612339	-45.528497
52	0.151441	750	-0.579369	-46.107866
53	0.143514	750	-0.587883	-46.695749
54	0.135841	750	-0.547753	-47.243502
55	0.128420	750	-0.516713	-47.760215
56	0.121247	750	-0.497505	-48.257721
57	0.114320	750	-0.489513	-48.747234
58	0.107637	750	-0.464118	-49.211352
59	0.101193	750	-0.456613	-49.667965
60	0.094986	750	-0.460344	-50.128309
61	0.089014	750	-0.424535	-50.552844
62	0.083273	750	-0.403229	-50.956072
63	0.077760	750	-0.385798	-51.341870
64	0.072472	750	-0.379463	-51.721333
65	0.067406	750	-0.361228	-52.082561
66	0.062558	750	-0.343660	-52.426221
67	0.057926	750	-0.347468	-52.773690
68	0.053506	750	-0.331972	-53.105662
69	0.049295	750	-0.316247	-53.421909
70	0.045289	750	-0.292920	-53.714829
71	0.041485	750	-0.293003	-54.007832
72	0.037880	750	-0.248848	-54.256679
73	0.034469	750	-0.247207	-54.503886
74	0.031250	750	-0.247509	-54.751394
75	0.028218	750	-0.241586	-54.992981
76	0.025370	750	-0.205245	-55.198226
77	0.022702	750	-0.197233	-55.395458
78	0.020209	750	-0.204150	-55.599608
79	0.017889	750	-0.176533	-55.776141
80	0.015736	750	-0.180233	-55.956374
81	0.013746	750	-0.148238	-56.104612
82	0.011916	750	-0.128425	-56.233038
83	0.010240	750	-0.126007	-56.359045
84	0.008714	750	-0.108635	-56.467680
85	0.007334	750	-0.113115	-56.580794
86	0.006093	750	-0.090792	-56.671586
87	0.004988	750	-0.118439	-56.790025
88	0.004013	750	-0.077360	-56.867385
89	0.003162	750	-0.067888	-56.935274
90	0.002430	750	-0.150639	-57.085912
91	0.001810	750	-0.044866	-57.130779
92	0.001296	750	-0.052700	-57.183479
93	0.000882	750	-0.085648	-57.269126
94	0.000559	750	-0.034722	-57.303849
95	0.000320	750	-0.017170	-57.321019
96	0.000156	750	-0.036885	-57.357904
97	0.000057	750	-0.045435	-57.403340
98	0.000010	750	-0.074040	-57.477380
99	0.000000	750	-0.015394	-57.492774
Log marginal likelihood:	-57.492774
