Options:
Model:                           MultiState
Tree File Name:                  data/ultimate_M_done.bttrees
Data File Name:                  data/ultimate_M_done.btdata
Log File Name:                   output/ultimate_M_done-pisemp-3.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            3000850356
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      10010000
Burn in:                         10000
MCMC ML Start:                   False
Use RJ MCMC:                     True
Schedule File:                   output/ultimate_M_done-pisemp-3.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     20
Base frequency (PI's):           Empirical: (0.044444,0.200000,0.333333,0.222222,0.200000)
Character Symbols:               A,B,C,D,E
Using a covarion model:          False
Normalise Q Matrix:              True
Restrictions:
    qAB                          RJ MCMC
    qAC                          RJ MCMC
    qAD                          RJ MCMC
    qAE                          RJ MCMC
    qBA                          RJ MCMC
    qBC                          RJ MCMC
    qBD                          RJ MCMC
    qBE                          RJ MCMC
    qCA                          RJ MCMC
    qCB                          RJ MCMC
    qCD                          RJ MCMC
    qCE                          RJ MCMC
    qDA                          RJ MCMC
    qDB                          RJ MCMC
    qDC                          RJ MCMC
    qDE                          RJ MCMC
    qEA                          RJ MCMC
    qEB                          RJ MCMC
    qEC                          RJ MCMC
    qED                          RJ MCMC
Prior Information:
    Prior Categories:            100
    Priors
        GlobalRate - uniform 0.00 100.00 
        RJRates - exp 10.00 
Tree Information
     Trees:                      1000
     Taxa:                       45
     Sites:                      1
     States:                     5
Iteration	Lh	Tree No	Global Rate	No Off Parmeters	No Off Zero	Model string	qAB	qAC	qAD	qAE	qBA	qBC	qBD	qBE	qCA	qCB	qCD	qCE	qDA	qDB	qDC	qDE	qEA	qEB	qEC	qED	Root P(A)	Root P(B)	Root P(C)	Root P(D)	Root P(E)	
11000	-68.062814	567	8.636987	1	9	'Z 0 0 Z 0 0 0 Z 0 0 0 Z Z Z 0 0 Z Z 0 Z 	0.000000	2.060020	2.060020	0.000000	2.060020	2.060020	2.060020	0.000000	2.060020	2.060020	2.060020	0.000000	0.000000	0.000000	2.060020	2.060020	0.000000	0.000000	2.060020	0.000000	0.044444	0.200000	0.333333	0.222222	0.200000	
12000	-67.410122	138	7.728957	1	5	'0 0 Z Z 0 0 0 Z 0 0 0 0 Z 0 0 0 0 0 0 Z 	1.551724	1.551724	0.000000	0.000000	1.551724	1.551724	1.551724	0.000000	1.551724	1.551724	1.551724	1.551724	0.000000	1.551724	1.551724	1.551724	1.551724	1.551724	1.551724	0.000000	0.044444	0.200000	0.333333	0.222222	0.200000	
13000	-67.835485	969	7.924438	1	7	'0 0 0 Z 0 0 Z Z Z 0 0 0 0 Z 0 0 Z 0 Z 0 	1.888993	1.888993	1.888993	0.000000	1.888993	1.888993	0.000000	0.000000	0.000000	1.888993	1.888993	1.888993	1.888993	0.000000	1.888993	1.888993	0.000000	1.888993	0.000000	1.888993	0.044444	0.200000	0.333333	0.222222	0.200000	
14000	-67.691260	645	8.444915	1	9	'0 0 Z Z 0 0 0 Z Z 0 0 0 Z Z 0 Z 0 0 Z Z 	2.109375	2.109375	0.000000	0.000000	2.109375	2.109375	2.109375	0.000000	0.000000	2.109375	2.109375	2.109375	0.000000	0.000000	2.109375	0.000000	2.109375	2.109375	0.000000	0.000000	0.044444	0.200000	0.333333	0.222222	0.200000	
15000	-68.239614	504	7.250462	1	8	'Z 0 Z 0 0 0 0 Z 0 0 0 0 Z 0 0 Z Z 0 Z Z 	0.000000	1.906780	0.000000	1.906780	1.906780	1.906780	1.906780	0.000000	1.906780	1.906780	1.906780	1.906780	0.000000	1.906780	1.906780	0.000000	0.000000	1.906780	0.000000	0.000000	0.044444	0.200000	0.333333	0.222222	0.200000	
16000	-67.854152	40	11.606155	1	5	'0 0 0 0 Z 0 0 Z Z 0 0 0 0 Z 0 0 0 0 Z 0 	1.716102	1.716102	1.716102	1.716102	0.000000	1.716102	1.716102	0.000000	0.000000	1.716102	1.716102	1.716102	1.716102	0.000000	1.716102	1.716102	1.716102	1.716102	0.000000	1.716102	0.044444	0.200000	0.333333	0.222222	0.200000	
17000	-69.409850	760	11.153410	1	7	'0 0 Z 0 0 Z 0 Z 0 0 Z 0 Z 0 0 0 Z Z 0 0 	1.967930	1.967930	0.000000	1.967930	1.967930	0.000000	1.967930	0.000000	1.967930	1.967930	0.000000	1.967930	0.000000	1.967930	1.967930	1.967930	0.000000	0.000000	1.967930	1.967930	0.044444	0.200000	0.333333	0.222222	0.200000	
18000	-70.734174	994	11.458031	1	10	'0 Z 0 Z Z Z 0 Z Z Z 0 Z 0 0 0 0 Z Z 0 0 	2.373974	0.000000	2.373974	0.000000	0.000000	0.000000	2.373974	0.000000	0.000000	0.000000	2.373974	0.000000	2.373974	2.373974	2.373974	2.373974	0.000000	0.000000	2.373974	2.373974	0.044444	0.200000	0.333333	0.222222	0.200000	
19000	-67.850816	236	11.923500	1	6	'Z Z 0 0 Z Z 0 0 0 Z 0 0 0 0 0 0 0 0 0 Z 	0.000000	0.000000	1.827617	1.827617	0.000000	0.000000	1.827617	1.827617	1.827617	0.000000	1.827617	1.827617	1.827617	1.827617	1.827617	1.827617	1.827617	1.827617	1.827617	0.000000	0.044444	0.200000	0.333333	0.222222	0.200000	
20000	-68.465477	203	10.652913	1	6	'0 0 0 0 Z 0 Z 0 Z 0 0 0 0 Z 0 Z 0 Z 0 0 	1.784141	1.784141	1.784141	1.784141	0.000000	1.784141	0.000000	1.784141	0.000000	1.784141	1.784141	1.784141	1.784141	0.000000	1.784141	0.000000	1.784141	0.000000	1.784141	1.784141	0.044444	0.200000	0.333333	0.222222	0.200000	
