Rate	62.50
Rev Jump	12.50
Tree Move	12.50
Global Rate	12.50
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Global Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Global Rate - Dev	Global Rate - Tried	Global Rate - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
615	0.624390	105	0.333333	137	0.430657	143	0.000000	5.000000	615	0.624390	0.551859	0	0.000000	0.478000	0.488137	
660	0.592424	76	0.263158	146	0.602740	118	0.000000	5.000000	660	0.592424	0.551859	0	0.000000	0.499000	0.489043	
655	0.629008	87	0.241379	134	0.597015	124	0.000000	5.000000	655	0.629008	0.551859	0	0.000000	0.513000	0.490885	
644	0.625776	101	0.188119	115	0.504348	140	0.000000	5.000000	644	0.625776	0.551859	0	0.000000	0.480000	0.490108	
661	0.632375	88	0.363636	131	0.526718	120	0.008333	5.000000	661	0.632375	0.551859	0	0.000000	0.520000	0.492101	
663	0.666667	101	0.356436	129	0.713178	107	0.000000	5.000000	663	0.666667	0.551859	0	0.000000	0.570000	0.496969	
678	0.634218	71	0.366197	133	0.751880	118	0.000000	5.000000	678	0.634218	0.551859	0	0.000000	0.556000	0.500441	
628	0.660828	90	0.466667	150	0.613333	132	0.000000	5.000000	628	0.660828	0.551859	0	0.000000	0.549000	0.503139	
624	0.575321	93	0.397849	155	0.658065	128	0.000000	5.000000	624	0.575321	0.551859	0	0.000000	0.498000	0.502868	
652	0.638037	79	0.240506	134	0.679104	135	0.000000	5.000000	652	0.638037	0.551859	0	0.000000	0.526000	0.504025	
645	0.610853	83	0.265060	142	0.605634	130	0.000000	5.000000	645	0.610853	0.551859	0	0.000000	0.502000	0.503928	
659	0.605463	67	0.343284	153	0.653595	121	0.000000	5.000000	659	0.605463	0.551859	0	0.000000	0.522000	0.504750	
661	0.642965	87	0.425287	128	0.726562	124	0.000000	5.000000	661	0.642965	0.551859	0	0.000000	0.555000	0.506934	
650	0.643077	86	0.313953	128	0.757812	136	0.007353	5.000000	650	0.643077	0.551859	0	0.000000	0.543000	0.508437	
638	0.623824	116	0.284483	127	0.614173	119	0.000000	5.000000	638	0.623824	0.551859	0	0.000000	0.509000	0.508460	
634	0.548896	87	0.287356	131	0.564885	148	0.000000	5.000000	634	0.548896	0.551859	0	0.000000	0.447000	0.506096	
667	0.605697	95	0.284211	124	0.701613	114	0.000000	5.000000	667	0.605697	0.551859	0	0.000000	0.518000	0.506537	
654	0.577982	105	0.438095	126	0.595238	115	0.000000	5.000000	654	0.577982	0.551859	0	0.000000	0.499000	0.506268	
661	0.526475	93	0.344086	115	0.643478	131	0.000000	5.000000	661	0.526475	0.551859	0	0.000000	0.454000	0.504465	
666	0.627628	64	0.375000	128	0.617188	142	0.000000	5.000000	666	0.627628	0.551859	0	0.000000	0.521000	0.505016	
642	0.630841	101	0.485149	134	0.634328	123	0.000000	5.000000	642	0.630841	0.551859	0	0.000000	0.539000	0.506113	
