Rate	62.50
Rev Jump	12.50
Tree Move	12.50
Global Rate	12.50
Rate Tried	% Accepted	Rev Jump Tried	% Accepted	Tree Move Tried	% Accepted	Global Rate Tried	% Accepted	Rates - Dev	Rates - Tried	Rates - Accepted	Global Rate - Dev	Global Rate - Tried	Global Rate - Accepted	Sample Ave Acceptance	Total Ave Acceptance	
655	0.723664	103	0.339806	117	0.726496	125	0.000000	3.539577	655	0.723664	0.313743	0	0.000000	0.594000	0.397964	
603	0.626866	123	0.333333	139	0.726619	135	0.000000	4.896619	603	0.626866	0.313743	0	0.000000	0.520000	0.408133	
653	0.588055	110	0.318182	104	0.586538	133	0.000000	5.000000	653	0.588055	0.313743	0	0.000000	0.480000	0.413660	
644	0.652174	91	0.351648	143	0.762238	122	0.000000	5.000000	644	0.652174	0.313743	0	0.000000	0.561000	0.424184	
642	0.605919	106	0.273585	121	0.570248	131	0.007634	5.000000	642	0.605919	0.313743	0	0.000000	0.488000	0.428438	
659	0.628225	83	0.204819	130	0.630769	128	0.000000	5.000000	659	0.628225	0.313743	0	0.000000	0.513000	0.433723	
626	0.591054	105	0.247619	141	0.702128	128	0.000000	5.000000	626	0.591054	0.313743	0	0.000000	0.495000	0.437327	
648	0.597222	66	0.303030	146	0.726027	140	0.000000	5.000000	648	0.597222	0.313743	0	0.000000	0.513000	0.441531	
635	0.570079	108	0.351852	123	0.699187	134	0.000000	5.000000	635	0.570079	0.313743	0	0.000000	0.486000	0.443871	
645	0.657364	86	0.290698	130	0.738462	139	0.000000	5.000000	645	0.657364	0.313743	0	0.000000	0.545000	0.448928	
614	0.625407	111	0.369369	139	0.669065	136	0.000000	5.000000	614	0.625407	0.313743	0	0.000000	0.518000	0.452217	
628	0.624204	104	0.384615	131	0.778626	137	0.000000	5.000000	628	0.624204	0.313743	0	0.000000	0.534000	0.455934	
642	0.624611	99	0.373737	138	0.768116	121	0.000000	5.000000	642	0.624611	0.313743	0	0.000000	0.544000	0.459763	
632	0.639241	106	0.386792	146	0.650685	116	0.000000	5.000000	632	0.639241	0.313743	0	0.000000	0.540000	0.463106	
597	0.624791	119	0.319328	134	0.641791	150	0.000000	5.000000	597	0.624791	0.313743	0	0.000000	0.497000	0.464461	
622	0.639871	117	0.307692	125	0.552000	136	0.000000	5.000000	622	0.639871	0.313743	0	0.000000	0.503000	0.465944	
636	0.644654	82	0.268293	130	0.715385	152	0.000000	5.000000	636	0.644654	0.313743	0	0.000000	0.525000	0.468131	
620	0.638710	131	0.305344	133	0.586466	116	0.000000	5.000000	620	0.638710	0.313743	0	0.000000	0.514000	0.469769	
653	0.658499	86	0.337209	125	0.600000	136	0.000000	5.000000	653	0.658499	0.313743	0	0.000000	0.534000	0.471984	
629	0.640700	111	0.351351	126	0.484127	134	0.000000	5.000000	629	0.640700	0.313743	0	0.000000	0.503000	0.473018	
621	0.611916	102	0.294118	135	0.614815	142	0.000000	5.000000	621	0.611916	0.313743	0	0.000000	0.493000	0.473662	
622	0.615756	111	0.333333	139	0.611511	128	0.000000	5.000000	622	0.615756	0.313743	0	0.000000	0.505000	0.474641	
617	0.623987	114	0.280702	130	0.684615	139	0.000000	5.000000	617	0.623987	0.313743	0	0.000000	0.506000	0.475592	
655	0.616794	107	0.289720	130	0.623077	108	0.000000	5.000000	655	0.616794	0.313743	0	0.000000	0.516000	0.476780	
622	0.607717	125	0.280000	107	0.616822	146	0.000000	5.000000	622	0.607717	0.313743	0	0.000000	0.479000	0.476844	
687	0.618632	81	0.222222	108	0.657407	124	0.000000	5.000000	687	0.618632	0.313743	0	0.000000	0.514000	0.477876	
655	0.622901	93	0.333333	120	0.775000	132	0.000000	5.000000	655	0.622901	0.313743	0	0.000000	0.532000	0.479338	
621	0.613527	110	0.400000	116	0.732759	153	0.000000	5.000000	621	0.613527	0.313743	0	0.000000	0.510000	0.480145	
640	0.631250	102	0.372549	127	0.716535	131	0.000000	5.000000	640	0.631250	0.313743	0	0.000000	0.533000	0.481500	
623	0.629213	96	0.416667	138	0.681159	143	0.000000	5.000000	623	0.629213	0.313743	0	0.000000	0.526000	0.482613	
641	0.620905	112	0.276786	107	0.710280	140	0.007143	5.000000	641	0.620905	0.313743	0	0.000000	0.506000	0.483183	
657	0.616438	97	0.340206	118	0.737288	128	0.000000	5.000000	657	0.616438	0.313743	0	0.000000	0.525000	0.484179	
626	0.637380	90	0.388889	138	0.666667	146	0.000000	5.000000	626	0.637380	0.313743	0	0.000000	0.526000	0.485152	
652	0.639571	78	0.307692	134	0.783582	136	0.000000	5.000000	652	0.639571	0.313743	0	0.000000	0.546000	0.486534	
639	0.577465	101	0.396040	136	0.654412	124	0.008065	5.000000	639	0.577465	0.313743	0	0.000000	0.499000	0.486811	
678	0.629794	96	0.333333	122	0.713115	104	0.000000	5.000000	678	0.629794	0.313743	0	0.000000	0.546000	0.488098	
657	0.633181	92	0.195652	121	0.677686	130	0.000000	5.000000	657	0.633181	0.313743	0	0.000000	0.516000	0.488692	
628	0.630573	114	0.315789	119	0.739496	139	0.000000	5.000000	628	0.630573	0.313743	0	0.000000	0.520000	0.489344	
637	0.631083	90	0.222222	144	0.652778	129	0.000000	5.000000	637	0.631083	0.313743	0	0.000000	0.516000	0.489888	
641	0.625585	99	0.303030	122	0.713115	138	0.000000	5.000000	641	0.625585	0.313743	0	0.000000	0.518000	0.490450	
649	0.619414	104	0.259615	126	0.769841	121	0.008264	5.000000	649	0.619414	0.313743	0	0.000000	0.527000	0.491167	
654	0.645260	100	0.330000	131	0.725191	115	0.000000	5.000000	654	0.645260	0.313743	0	0.000000	0.550000	0.492298	
667	0.641679	94	0.329787	121	0.611570	118	0.000000	5.000000	667	0.641679	0.313743	0	0.000000	0.533000	0.493066	
648	0.640432	100	0.360000	113	0.778761	139	0.000000	5.000000	648	0.640432	0.313743	0	0.000000	0.539000	0.493917	
615	0.575610	90	0.266667	153	0.738562	142	0.000000	5.000000	615	0.575610	0.313743	0	0.000000	0.491000	0.493864	
631	0.583201	110	0.336364	120	0.783333	139	0.007194	5.000000	631	0.583201	0.313743	0	0.000000	0.500000	0.493973	
637	0.651491	110	0.327273	127	0.606299	126	0.000000	5.000000	637	0.651491	0.313743	0	0.000000	0.528000	0.494570	
648	0.652778	112	0.250000	138	0.681159	102	0.000000	5.000000	648	0.652778	0.313743	0	0.000000	0.545000	0.495440	
661	0.620272	105	0.276190	134	0.716418	100	0.000000	5.000000	661	0.620272	0.313743	0	0.000000	0.535000	0.496110	
658	0.645897	111	0.351351	117	0.683761	114	0.000000	5.000000	658	0.645897	0.313743	0	0.000000	0.544000	0.496908	
645	0.631008	100	0.400000	128	0.726562	127	0.000000	5.000000	645	0.631008	0.313743	0	0.000000	0.540000	0.497615	
621	0.613527	137	0.313869	132	0.613636	110	0.000000	5.000000	621	0.613527	0.313743	0	0.000000	0.505000	0.497734	
614	0.614007	112	0.348214	142	0.577465	132	0.007576	5.000000	614	0.614007	0.313743	0	0.000000	0.499000	0.497754	
650	0.661538	99	0.383838	126	0.690476	125	0.000000	5.000000	650	0.661538	0.313743	0	0.000000	0.555000	0.498648	
624	0.615385	93	0.268817	129	0.790698	154	0.000000	5.000000	624	0.615385	0.313743	0	0.000000	0.511000	0.498838	
